Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2020/2021,15/8/2020,3:30,Puebla,Pachuca,0,1,A,3.4,3.22,2.3,3.55,3.3,2.4,3.29,3.11,2.25
Mexico,Liga MX,2020/2021,15/8/2020,23:00,Guadalajara Chivas,Atl. San Luis,2,1,H,2.09,3.25,3.96,2.17,3.42,4.1,2.05,3.22,3.71
Mexico,Liga MX,2020/2021,16/8/2020,1:00,Cruz Azul,Juarez,3,2,H,1.41,4.7,8.21,1.45,5.2,8.3,1.39,4.6,7.53
Mexico,Liga MX,2020/2021,16/8/2020,3:00,Mazatlan FC,U.N.A.M.- Pumas,0,0,D,2.28,3.49,3.17,2.35,3.78,3.26,2.22,3.38,3.07
Mexico,Liga MX,2020/2021,16/8/2020,3:06,Monterrey,Necaxa,1,1,D,1.62,4.11,5.55,1.67,4.25,6.1,1.6,3.93,5.25
Mexico,Liga MX,2020/2021,16/8/2020,18:00,Toluca,U.A.N.L.- Tigres,3,2,H,2.96,3.53,2.39,3.13,3.9,2.39,2.94,3.45,2.27
Mexico,Liga MX,2020/2021,17/8/2020,1:06,Santos Laguna,Atlas,0,0,D,1.98,3.67,3.85,2.02,3.92,4.2,1.89,3.63,3.76
Mexico,Liga MX,2020/2021,17/8/2020,3:00,Queretaro,Club America,4,1,H,3.19,3.48,2.28,3.42,3.55,2.38,3.08,3.37,2.22
Mexico,Liga MX,2020/2021,18/8/2020,3:00,Club Leon,Club Tijuana,2,1,H,1.55,4.43,5.87,1.63,4.54,7.3,1.52,4.24,5.7
Mexico,Liga MX,2020/2021,22/8/2020,1:30,Necaxa,Santos Laguna,2,1,H,2.98,3.38,2.45,3.13,3.45,2.58,2.84,3.3,2.4
Mexico,Liga MX,2020/2021,22/8/2020,3:30,Juarez,Club Leon,0,0,D,3.96,3.6,1.97,4.36,3.72,2.04,3.89,3.53,1.89
Mexico,Liga MX,2020/2021,22/8/2020,23:00,Atlas,Queretaro,1,0,H,3.01,3.17,2.56,3.08,3.34,2.65,2.87,3.13,2.48
Mexico,Liga MX,2020/2021,23/8/2020,1:00,U.A.N.L.- Tigres,U.N.A.M.- Pumas,1,1,D,1.57,4.13,6.07,1.63,4.25,6.55,1.56,4.03,5.52
Mexico,Liga MX,2020/2021,23/8/2020,3:00,Club America,Monterrey,1,3,A,2.65,3.6,2.6,2.75,3.7,2.71,2.58,3.48,2.52
Mexico,Liga MX,2020/2021,23/8/2020,23:30,Toluca,Guadalajara Chivas,1,0,H,2.76,3.26,2.7,2.89,3.34,2.81,2.67,3.16,2.64
Mexico,Liga MX,2020/2021,24/8/2020,1:35,Atl. San Luis,Cruz Azul,1,3,A,4.67,3.81,1.78,4.75,4.05,1.84,4.41,3.69,1.75
Mexico,Liga MX,2020/2021,24/8/2020,3:06,Club Tijuana,Puebla,1,0,H,1.98,3.3,4.37,2.05,3.4,4.55,1.95,3.21,4.1
Mexico,Liga MX,2020/2021,25/8/2020,3:05,Pachuca,Mazatlan FC,4,3,H,1.91,3.38,4.46,1.96,3.5,4.8,1.87,3.3,4.31
Mexico,Liga MX,2020/2021,29/8/2020,1:30,Puebla,Toluca,4,1,H,2.99,3.33,2.51,3.1,3.4,2.59,2.87,3.2,2.45
Mexico,Liga MX,2020/2021,29/8/2020,3:35,Mazatlan FC,U.A.N.L.- Tigres,1,1,D,3.98,3.48,2.02,4.12,3.68,2.05,3.77,3.41,1.96
Mexico,Liga MX,2020/2021,30/8/2020,1:00,Atl. San Luis,Club America,1,2,A,2.88,3.41,2.48,2.98,3.68,2.53,2.83,3.38,2.38
Mexico,Liga MX,2020/2021,30/8/2020,1:00,Guadalajara Chivas,Pachuca,0,0,D,2.51,3.14,3.04,2.57,3.4,3.13,2.43,3.13,2.93
Mexico,Liga MX,2020/2021,30/8/2020,3:00,Cruz Azul,Necaxa,3,0,H,1.57,4,6.29,1.62,4.5,6.29,1.54,4.03,5.74
Mexico,Liga MX,2020/2021,30/8/2020,18:00,U.N.A.M.- Pumas,Club Tijuana,3,0,H,2.08,3.51,3.59,2.17,3.68,3.7,2.06,3.42,3.43
Mexico,Liga MX,2020/2021,31/8/2020,1:06,Santos Laguna,Queretaro,2,1,H,2.23,3.4,3.31,2.28,3.66,3.72,2.16,3.33,3.26
Mexico,Liga MX,2020/2021,31/8/2020,3:06,Monterrey,Juarez,2,1,H,1.48,4.71,6.33,1.53,5.1,6.5,1.47,4.52,5.9
Mexico,Liga MX,2020/2021,1/9/2020,3:05,Club Leon,Atlas,2,1,H,1.7,3.68,5.4,1.76,4.15,5.5,1.68,3.71,4.94
Mexico,Liga MX,2020/2021,3/9/2020,2:00,Club America,Mazatlan FC,3,1,H,1.56,4.22,6.06,1.59,4.5,6.06,1.55,4.17,5.45
Mexico,Liga MX,2020/2021,4/9/2020,1:00,Queretaro,Toluca,4,1,H,2.11,3.56,3.5,2.26,3.6,3.54,2.08,3.48,3.3
Mexico,Liga MX,2020/2021,4/9/2020,3:00,Pachuca,Atl. San Luis,3,1,H,1.89,3.67,4.23,1.95,3.67,4.28,1.86,3.52,3.98
Mexico,Liga MX,2020/2021,5/9/2020,1:30,Necaxa,Club Leon,0,2,A,4.13,3.89,1.85,4.33,3.89,1.92,3.97,3.68,1.82
Mexico,Liga MX,2020/2021,5/9/2020,3:06,Club Tijuana,Monterrey,2,1,H,3.35,3.58,2.16,3.6,3.64,2.25,3.2,3.45,2.13
Mexico,Liga MX,2020/2021,5/9/2020,3:30,Juarez,Santos Laguna,1,1,D,3.26,3.5,2.24,3.3,3.6,2.38,3.06,3.36,2.23
Mexico,Liga MX,2020/2021,5/9/2020,23:00,U.N.A.M.- Pumas,Puebla,4,1,H,1.76,3.94,4.61,1.83,3.96,4.78,1.76,3.68,4.34
Mexico,Liga MX,2020/2021,6/9/2020,1:00,Atlas,Cruz Azul,1,0,H,4.75,3.75,1.78,4.78,3.84,1.82,4.44,3.62,1.75
Mexico,Liga MX,2020/2021,6/9/2020,3:00,U.A.N.L.- Tigres,Guadalajara Chivas,1,3,A,2.03,3.32,4.07,2.09,3.42,4.07,2,3.23,3.79
Mexico,Liga MX,2020/2021,8/9/2020,23:00,Atl. San Luis,Necaxa,2,1,H,2.49,3.4,2.91,2.54,3.4,2.92,2.42,3.26,2.82
Mexico,Liga MX,2020/2021,9/9/2020,1:00,Toluca,Juarez,0,1,A,1.78,4.15,4.21,1.83,4.34,4.21,1.75,3.89,4.07
Mexico,Liga MX,2020/2021,9/9/2020,1:06,Monterrey,Atlas,1,1,D,1.53,4.31,6.32,1.56,4.5,6.32,1.51,4.24,5.74
Mexico,Liga MX,2020/2021,9/9/2020,3:00,Guadalajara Chivas,Queretaro,1,1,D,1.95,3.53,4.13,2.09,3.53,4.13,1.97,3.31,3.78
Mexico,Liga MX,2020/2021,9/9/2020,3:00,Puebla,Club America,2,3,A,3.9,3.69,1.96,3.92,3.69,2,3.72,3.52,1.92
Mexico,Liga MX,2020/2021,9/9/2020,23:00,Club Leon,U.A.N.L.- Tigres,1,1,D,1.95,3.58,4.08,1.96,3.68,4.33,1.87,3.49,3.96
Mexico,Liga MX,2020/2021,10/9/2020,1:00,Cruz Azul,Pachuca,1,0,H,2.17,3.52,3.39,2.23,3.52,3.5,2.14,3.31,3.29
Mexico,Liga MX,2020/2021,10/9/2020,3:00,Mazatlan FC,Club Tijuana,1,0,H,2.47,3.32,3,2.47,3.33,3.01,2.4,3.21,2.89
Mexico,Liga MX,2020/2021,10/9/2020,3:06,Santos Laguna,U.N.A.M.- Pumas,1,2,A,2.08,3.52,3.65,2.12,3.52,3.8,2.02,3.4,3.5
Mexico,Liga MX,2020/2021,12/9/2020,1:30,Necaxa,Guadalajara Chivas,1,2,A,3.28,3.42,2.26,3.44,3.42,2.36,3.12,3.25,2.25
Mexico,Liga MX,2020/2021,12/9/2020,3:30,Juarez,Puebla,1,0,H,2.16,3.27,3.69,2.18,3.42,3.86,2.09,3.18,3.56
Mexico,Liga MX,2020/2021,12/9/2020,23:00,Atlas,Mazatlan FC,1,1,D,2.34,3.43,3.24,2.36,3.45,3.3,2.24,3.28,3.11
Mexico,Liga MX,2020/2021,13/9/2020,1:00,U.A.N.L.- Tigres,Santos Laguna,2,0,H,2.12,3.58,3.59,2.15,3.58,3.75,2.06,3.4,3.43
Mexico,Liga MX,2020/2021,13/9/2020,3:00,Club America,Toluca,1,1,D,1.78,4.01,4.55,1.8,4.05,4.55,1.73,3.84,4.26
Mexico,Liga MX,2020/2021,13/9/2020,18:00,U.N.A.M.- Pumas,Atl. San Luis,3,0,H,1.95,3.65,4.11,1.99,3.85,4.2,1.85,3.6,3.93
Mexico,Liga MX,2020/2021,14/9/2020,1:00,Queretaro,Club Leon,2,3,A,3.31,3.52,2.26,3.45,3.52,2.29,3.16,3.36,2.18
Mexico,Liga MX,2020/2021,14/9/2020,3:06,Club Tijuana,Cruz Azul,1,2,A,3.16,3.58,2.31,3.24,3.58,2.45,3.06,3.39,2.22
Mexico,Liga MX,2020/2021,15/9/2020,3:00,Pachuca,Monterrey,1,1,D,2.25,3.72,3.18,2.31,3.72,3.34,2.19,3.49,3.06
Mexico,Liga MX,2020/2021,19/9/2020,1:30,Necaxa,Puebla,0,1,A,2.25,3.39,3.47,2.27,3.45,3.58,2.15,3.28,3.34
Mexico,Liga MX,2020/2021,19/9/2020,3:30,Mazatlan FC,Cruz Azul,2,3,A,3.36,3.5,2.25,3.36,3.5,2.59,3.15,3.31,2.22
Mexico,Liga MX,2020/2021,19/9/2020,23:00,Atlas,Pachuca,0,1,A,3.14,3.13,2.57,3.14,3.24,2.59,2.96,3.06,2.47
Mexico,Liga MX,2020/2021,20/9/2020,1:00,U.A.N.L.- Tigres,Queretaro,3,0,H,1.83,3.79,4.58,1.84,3.79,5,1.78,3.59,4.37
Mexico,Liga MX,2020/2021,20/9/2020,3:00,Club America,Guadalajara Chivas,1,0,H,2.42,3.46,3.08,2.42,3.5,3.14,2.33,3.33,2.94
Mexico,Liga MX,2020/2021,20/9/2020,18:00,Toluca,Santos Laguna,1,2,A,2.84,3.7,2.46,2.9,3.74,2.5,2.75,3.54,2.37
Mexico,Liga MX,2020/2021,21/9/2020,1:00,Atl. San Luis,Monterrey,1,2,A,4.22,4.05,1.83,5,4.05,1.94,3.92,3.77,1.82
Mexico,Liga MX,2020/2021,22/9/2020,3:00,Club Leon,U.N.A.M.- Pumas,2,0,H,1.73,4.18,4.69,1.76,4.18,4.85,1.69,3.95,4.44
Mexico,Liga MX,2020/2021,25/9/2020,3:00,Pachuca,Toluca,0,0,D,1.58,4.35,5.87,1.61,4.4,6,1.55,4.18,5.33
Mexico,Liga MX,2020/2021,26/9/2020,1:30,Puebla,Queretaro,3,3,D,2.89,3.23,2.69,2.89,3.28,2.79,2.72,3.11,2.63
Mexico,Liga MX,2020/2021,26/9/2020,3:30,Juarez,Atlas,0,1,A,2.51,3.18,3.17,2.53,3.25,3.19,2.42,3.09,3.01
Mexico,Liga MX,2020/2021,26/9/2020,23:00,Guadalajara Chivas,Mazatlan FC,2,1,H,1.72,3.87,5.23,1.78,3.87,5.38,1.71,3.58,4.88
Mexico,Liga MX,2020/2021,27/9/2020,1:00,U.N.A.M.- Pumas,Necaxa,1,1,D,2.25,3.62,3.25,2.26,3.66,3.37,2.14,3.5,3.14
Mexico,Liga MX,2020/2021,27/9/2020,3:06,Monterrey,U.A.N.L.- Tigres,0,2,A,2.81,3.32,2.7,2.81,3.54,2.82,2.62,3.27,2.63
Mexico,Liga MX,2020/2021,27/9/2020,23:00,Atl. San Luis,Club Leon,0,2,A,4.55,4.13,1.76,4.6,4.13,1.79,4.33,3.85,1.72
Mexico,Liga MX,2020/2021,28/9/2020,2:45,Cruz Azul,Club America,0,0,D,1.94,3.61,4.23,2,3.64,4.4,1.88,3.45,4.01
Mexico,Liga MX,2020/2021,1/10/2020,1:06,Club Tijuana,Juarez,2,1,H,2.17,3.5,3.55,2.22,3.5,3.55,2.11,3.3,3.38
Mexico,Liga MX,2020/2021,3/10/2020,1:30,Puebla,Santos Laguna,0,2,A,3.26,3.55,2.28,3.26,3.64,2.31,3.1,3.44,2.19
Mexico,Liga MX,2020/2021,3/10/2020,3:30,Club Leon,Mazatlan FC,2,1,H,1.4,5.14,8.09,1.44,5.38,8.5,1.38,4.85,7.32
Mexico,Liga MX,2020/2021,3/10/2020,23:00,Atlas,Necaxa,0,1,A,2.41,3.13,3.41,2.41,3.3,3.41,2.33,3.11,3.13
Mexico,Liga MX,2020/2021,4/10/2020,1:00,U.A.N.L.- Tigres,Atl. San Luis,3,0,H,1.47,4.54,7.59,1.5,4.55,7.59,1.44,4.34,6.75
Mexico,Liga MX,2020/2021,4/10/2020,3:00,Club America,U.N.A.M.- Pumas,2,2,D,2.2,3.57,3.4,2.2,3.72,3.4,2.11,3.47,3.23
Mexico,Liga MX,2020/2021,4/10/2020,18:00,Toluca,Cruz Azul,2,0,H,3.96,3.98,1.9,4,3.99,1.92,3.76,3.77,1.85
Mexico,Liga MX,2020/2021,4/10/2020,23:00,Juarez,Pachuca,1,1,D,4.64,3.6,1.86,4.75,3.6,1.92,4.34,3.4,1.83
Mexico,Liga MX,2020/2021,5/10/2020,1:00,Queretaro,Monterrey,1,2,A,2.62,3.6,2.72,2.62,3.7,2.73,2.51,3.47,2.6
Mexico,Liga MX,2020/2021,5/10/2020,3:06,Club Tijuana,Guadalajara Chivas,0,0,D,2.75,3.29,2.78,2.77,3.32,2.78,2.67,3.14,2.66
Mexico,Liga MX,2020/2021,12/10/2020,1:06,Santos Laguna,Club Tijuana,2,0,H,1.71,3.95,5.15,1.73,3.97,5.75,1.68,3.74,4.82
Mexico,Liga MX,2020/2021,16/10/2020,3:00,Atl. San Luis,Queretaro,2,1,H,3.66,3.48,2.14,3.8,3.49,2.15,3.48,3.33,2.06
Mexico,Liga MX,2020/2021,17/10/2020,1:30,Necaxa,Club Tijuana,2,0,H,2.27,3.26,3.57,2.27,3.35,3.62,2.16,3.2,3.37
Mexico,Liga MX,2020/2021,17/10/2020,3:30,Mazatlan FC,Juarez,3,2,H,1.96,3.62,4.11,2,3.62,4.2,1.91,3.45,3.84
Mexico,Liga MX,2020/2021,17/10/2020,23:06,Monterrey,Puebla,3,1,H,1.54,4.52,6.18,1.56,4.52,6.18,1.53,4.23,5.53
Mexico,Liga MX,2020/2021,18/10/2020,1:00,Guadalajara Chivas,Atlas,3,2,H,2.18,3.16,3.95,2.18,3.34,4.2,2.07,3.12,3.75
Mexico,Liga MX,2020/2021,18/10/2020,3:00,Cruz Azul,U.A.N.L.- Tigres,0,2,A,2.19,3.65,3.37,2.27,3.65,3.5,2.13,3.46,3.21
Mexico,Liga MX,2020/2021,18/10/2020,18:00,U.N.A.M.- Pumas,Toluca,1,0,H,2.01,3.74,3.79,2.05,3.87,3.83,1.92,3.66,3.6
Mexico,Liga MX,2020/2021,19/10/2020,1:06,Santos Laguna,Pachuca,1,1,D,2.39,3.35,3.22,2.45,3.4,3.23,2.33,3.23,3.02
Mexico,Liga MX,2020/2021,20/10/2020,3:00,Club Leon,Club America,3,2,H,1.79,4.11,4.38,1.87,4.11,4.49,1.76,3.85,4.12
Mexico,Liga MX,2020/2021,24/10/2020,1:30,Puebla,Club Leon,1,2,A,4.65,4.04,1.76,4.75,4.18,1.78,4.32,3.9,1.71
Mexico,Liga MX,2020/2021,24/10/2020,23:00,Queretaro,Necaxa,0,1,A,2.3,3.34,3.41,2.32,3.5,3.41,2.25,3.22,3.17
Mexico,Liga MX,2020/2021,25/10/2020,1:00,U.A.N.L.- Tigres,Juarez,1,1,D,1.38,5.11,8.79,1.67,5.11,9.5,1.39,4.47,7.61
Mexico,Liga MX,2020/2021,25/10/2020,2:00,Club America,Atlas,1,0,H,2.11,3.64,3.57,2.15,3.7,3.8,2,3.49,3.53
Mexico,Liga MX,2020/2021,25/10/2020,2:00,Mazatlan FC,Monterrey,1,2,A,2.78,3.7,2.52,2.93,3.78,2.52,2.71,3.55,2.39
Mexico,Liga MX,2020/2021,25/10/2020,18:00,Toluca,Club Tijuana,2,0,H,1.83,3.84,4.51,2.01,3.84,4.58,1.82,3.62,4.05
Mexico,Liga MX,2020/2021,25/10/2020,23:30,Guadalajara Chivas,Cruz Azul,0,2,A,3.47,3.24,2.32,3.51,3.25,2.51,3.27,3.07,2.28
Mexico,Liga MX,2020/2021,26/10/2020,1:06,Santos Laguna,Atl. San Luis,2,1,H,1.54,4.28,6.65,1.55,4.41,7.17,1.51,4.11,6.02
Mexico,Liga MX,2020/2021,27/10/2020,3:00,Pachuca,U.N.A.M.- Pumas,1,1,D,1.9,3.58,4.45,1.98,3.72,4.59,1.84,3.48,4.13
Mexico,Liga MX,2020/2021,30/10/2020,3:00,Atl. San Luis,Mazatlan FC,0,5,A,2.38,3.41,3.18,2.53,3.54,3.18,2.37,3.23,2.96
Mexico,Liga MX,2020/2021,31/10/2020,1:30,Necaxa,Toluca,3,2,H,2.37,3.53,3.11,2.38,3.54,3.22,2.29,3.33,3
Mexico,Liga MX,2020/2021,31/10/2020,3:06,Club Tijuana,Pachuca,0,2,A,2.81,3.32,2.7,2.81,3.35,2.82,2.67,3.18,2.63
Mexico,Liga MX,2020/2021,31/10/2020,3:30,Juarez,Queretaro,1,0,H,2.67,3.39,2.8,2.67,3.43,2.88,2.54,3.24,2.72
Mexico,Liga MX,2020/2021,31/10/2020,23:00,Atlas,Puebla,0,1,A,2.3,3.49,3.27,2.35,3.5,3.4,2.22,3.33,3.14
Mexico,Liga MX,2020/2021,1/11/2020,1:00,U.N.A.M.- Pumas,Guadalajara Chivas,2,2,D,2.34,3.42,3.24,2.4,3.42,3.26,2.29,3.26,3.05
Mexico,Liga MX,2020/2021,1/11/2020,3:06,Monterrey,Cruz Azul,1,0,H,2.66,3.54,2.71,2.67,3.6,2.8,2.52,3.42,2.62
Mexico,Liga MX,2020/2021,1/11/2020,23:30,Club America,U.A.N.L.- Tigres,3,1,H,2.74,3.53,2.64,2.8,3.6,2.66,2.65,3.43,2.5
Mexico,Liga MX,2020/2021,3/11/2020,3:00,Club Leon,Santos Laguna,2,1,H,1.96,3.9,3.82,1.99,3.9,3.84,1.9,3.72,3.6
Mexico,Liga MX,2020/2021,7/11/2020,1:30,Puebla,Atl. San Luis,1,0,H,1.74,4.08,4.73,1.82,4.2,5,1.68,3.95,4.53
Mexico,Liga MX,2020/2021,7/11/2020,3:30,Juarez,Club America,1,1,D,3.08,3.66,2.33,3.38,3.72,2.33,3.08,3.5,2.18
Mexico,Liga MX,2020/2021,7/11/2020,23:00,Guadalajara Chivas,Monterrey,3,1,H,2.97,3.38,2.53,2.99,3.54,2.56,2.84,3.32,2.41
Mexico,Liga MX,2020/2021,7/11/2020,23:00,Pachuca,Necaxa,0,1,A,2.95,3.29,2.6,3.13,3.34,2.7,2.9,3.16,2.43
Mexico,Liga MX,2020/2021,8/11/2020,1:00,U.A.N.L.- Tigres,Atlas,1,1,D,1.5,4.26,7.58,1.52,4.4,8,1.47,4.17,6.74
Mexico,Liga MX,2020/2021,8/11/2020,3:00,Cruz Azul,U.N.A.M.- Pumas,1,2,A,1.74,3.88,5.05,1.81,4.1,5.05,1.72,3.8,4.45
Mexico,Liga MX,2020/2021,8/11/2020,18:00,Toluca,Club Leon,2,2,D,3.7,4,1.96,3.8,4.04,2.15,3.46,3.74,1.95
Mexico,Liga MX,2020/2021,9/11/2020,1:06,Santos Laguna,Mazatlan FC,4,0,H,1.6,4.27,5.89,1.65,4.5,5.89,1.56,4.21,5.26
Mexico,Liga MX,2020/2021,9/11/2020,3:06,Queretaro,Club Tijuana,2,2,D,2.08,3.65,3.64,2.13,3.78,3.83,1.99,3.57,3.5
Mexico,Liga MX,2020/2021,22/11/2020,1:00,Santos Laguna,Pachuca,0,3,A,2.24,3.36,3.52,2.28,3.38,3.72,2.17,3.19,3.35
