Date,Home,Away,HG,AG,Res
6/8/2022,Eintracht Frankfurt,Bayern Munich,1,6,A
6/8/2022,Union Berlin,Hertha Berlin,3,1,H
6/8/2022,Borussia M'gladbach,Hoffenheim,3,1,H
6/8/2022,Wolfsburg,Werder Bremen,2,2,D
6/8/2022,Bochum,Mainz,1,2,A
6/8/2022,Augsburg,Freiburg,0,4,A
7/8/2022,Borussia Dortmund,Bayer Leverkusen,1,0,H
7/8/2022,Stuttgart,RB Leipzig,1,1,D
7/8/2022,FC Cologne,Schalke 04,3,1,H
20/8/2022,Borussia M'gladbach,Hertha Berlin,1,0,H
20/8/2022,Borussia Dortmund,Werder Bremen,2,3,A
20/8/2022,Bayer Leverkusen,Hoffenheim,0,3,A
20/8/2022,Wolfsburg,Schalke 04,0,0,D
20/8/2022,Augsburg,Mainz,1,2,A
20/8/2022,Stuttgart,Freiburg,0,1,A
21/8/2022,Union Berlin,RB Leipzig,2,1,H
21/8/2022,Eintracht Frankfurt,FC Cologne,1,1,D
21/8/2022,Bochum,Bayern Munich,0,7,A
3/9/2022,Borussia Dortmund,Hoffenheim,1,0,H
3/9/2022,Bayer Leverkusen,Freiburg,2,3,A
3/9/2022,Union Berlin,Bayern Munich,1,1,D
3/9/2022,Wolfsburg,FC Cologne,2,4,A
3/9/2022,Bochum,Werder Bremen,0,2,A
3/9/2022,Stuttgart,Schalke 04,1,1,D
4/9/2022,Eintracht Frankfurt,RB Leipzig,4,0,H
4/9/2022,Augsburg,Hertha Berlin,0,2,A
4/9/2022,Borussia M'gladbach,Mainz,0,1,A
17/9/2022,Mainz,Hertha Berlin,1,1,D
17/9/2022,Augsburg,Bayern Munich,1,0,H
17/9/2022,Bayer Leverkusen,Werder Bremen,1,1,D
17/9/2022,Stuttgart,Eintracht Frankfurt,1,3,A
17/9/2022,Borussia Dortmund,Schalke 04,1,0,H
18/9/2022,Borussia M'gladbach,RB Leipzig,3,0,H
18/9/2022,Union Berlin,Wolfsburg,2,0,H
18/9/2022,Bochum,FC Cologne,1,1,D
19/9/2022,Hoffenheim,Freiburg,0,0,D
8/10/2022,Hoffenheim,Werder Bremen,1,2,A
8/10/2022,Bayer Leverkusen,Schalke 04,4,0,H
8/10/2022,Mainz,RB Leipzig,1,1,D
8/10/2022,Bochum,Eintracht Frankfurt,3,0,H
8/10/2022,Augsburg,Wolfsburg,1,1,D
9/10/2022,Borussia Dortmund,Bayern Munich,2,2,D
9/10/2022,Borussia M'gladbach,FC Cologne,5,2,H
9/10/2022,Hertha Berlin,Freiburg,2,2,D
10/10/2022,Stuttgart,Union Berlin,0,1,A
22/10/2022,Mainz,FC Cologne,5,0,H
22/10/2022,Borussia Dortmund,Stuttgart,5,0,H
22/10/2022,Bayer Leverkusen,Wolfsburg,2,2,D
22/10/2022,Freiburg,Werder Bremen,2,0,H
22/10/2022,Hoffenheim,Bayern Munich,0,2,A
22/10/2022,Augsburg,RB Leipzig,3,3,D
23/10/2022,Borussia M'gladbach,Eintracht Frankfurt,1,3,A
23/10/2022,Bochum,Union Berlin,2,1,H
23/10/2022,Hertha Berlin,Schalke 04,2,1,H
5/11/2022,Borussia M'gladbach,Stuttgart,3,1,H
5/11/2022,Borussia Dortmund,Bochum,3,0,H
5/11/2022,Mainz,Wolfsburg,0,3,A
5/11/2022,Hoffenheim,RB Leipzig,1,3,A
5/11/2022,Augsburg,Eintracht Frankfurt,1,2,A
5/11/2022,Hertha Berlin,Bayern Munich,2,3,A
6/11/2022,Werder Bremen,Schalke 04,2,1,H
6/11/2022,Bayer Leverkusen,Union Berlin,5,0,H
7/11/2022,Freiburg,FC Cologne,2,0,H
12/11/2022,Borussia M'gladbach,Borussia Dortmund,4,2,H
12/11/2022,Bayer Leverkusen,Stuttgart,2,0,H
12/11/2022,Hoffenheim,Wolfsburg,1,2,A
12/11/2022,Augsburg,Bochum,0,1,A
12/11/2022,Hertha Berlin,FC Cologne,2,0,H
12/11/2022,Werder Bremen,RB Leipzig,1,2,A
13/11/2022,Schalke 04,Bayern Munich,0,2,A
13/11/2022,Mainz,Eintracht Frankfurt,1,1,D
14/11/2022,Freiburg,Union Berlin,4,1,H
25/1/2023,Schalke 04,RB Leipzig,1,6,A
25/1/2023,Bayern Munich,FC Cologne,1,1,D
25/1/2023,Hoffenheim,Stuttgart,2,2,D
25/1/2023,Hertha Berlin,Wolfsburg,0,5,A
26/1/2023,Mainz,Borussia Dortmund,1,2,A
26/1/2023,Bayer Leverkusen,Bochum,2,0,H
26/1/2023,Freiburg,Eintracht Frankfurt,1,1,D
26/1/2023,Augsburg,Borussia M'gladbach,1,0,H
26/1/2023,Werder Bremen,Union Berlin,1,2,A
4/2/2023,Augsburg,Bayer Leverkusen,1,0,H
4/2/2023,Borussia Dortmund,Freiburg,5,1,H
4/2/2023,Union Berlin,Mainz,2,1,H
4/2/2023,FC Cologne,RB Leipzig,0,0,D
4/2/2023,Eintracht Frankfurt,Hertha Berlin,3,0,H
4/2/2023,Bochum,Hoffenheim,5,2,H
5/2/2023,Borussia M'gladbach,Schalke 04,0,0,D
5/2/2023,Stuttgart,Werder Bremen,0,2,A
6/2/2023,Wolfsburg,Bayern Munich,2,4,A
18/2/2023,Augsburg,Hoffenheim,1,0,H
18/2/2023,Borussia M'gladbach,Bayern Munich,3,2,H
18/2/2023,Wolfsburg,RB Leipzig,0,3,A
18/2/2023,Bochum,Freiburg,0,2,A
18/2/2023,Stuttgart,FC Cologne,3,0,H
19/2/2023,Eintracht Frankfurt,Werder Bremen,2,0,H
19/2/2023,Union Berlin,Schalke 04,0,0,D
20/2/2023,Borussia Dortmund,Hertha Berlin,4,1,H
20/2/2023,Bayer Leverkusen,Mainz,2,3,A
4/3/2023,Borussia Dortmund,RB Leipzig,2,1,H
4/3/2023,Union Berlin,FC Cologne,0,0,D
4/3/2023,Mainz,Hoffenheim,1,0,H
4/3/2023,Borussia M'gladbach,Freiburg,0,0,D
4/3/2023,Bochum,Schalke 04,0,2,A
4/3/2023,Augsburg,Werder Bremen,2,1,H
5/3/2023,Stuttgart,Bayern Munich,1,2,A
5/3/2023,Bayer Leverkusen,Hertha Berlin,4,1,H
6/3/2023,Wolfsburg,Eintracht Frankfurt,2,2,D
18/3/2023,Borussia M'gladbach,Werder Bremen,2,2,D
18/3/2023,Hoffenheim,Hertha Berlin,3,1,H
18/3/2023,Bochum,RB Leipzig,1,0,H
18/3/2023,Augsburg,Schalke 04,1,1,D
18/3/2023,Stuttgart,Wolfsburg,0,1,A
19/3/2023,Borussia Dortmund,FC Cologne,6,1,H
19/3/2023,Union Berlin,Eintracht Frankfurt,2,0,H
20/3/2023,Bayer Leverkusen,Bayern Munich,2,1,H
20/3/2023,Mainz,Freiburg,1,1,D
8/4/2023,Borussia Dortmund,Union Berlin,2,1,H
8/4/2023,Bayer Leverkusen,Eintracht Frankfurt,3,1,H
8/4/2023,Freiburg,Bayern Munich,0,1,A
8/4/2023,Mainz,Werder Bremen,2,2,D
8/4/2023,Augsburg,FC Cologne,1,3,A
9/4/2023,Hertha Berlin,RB Leipzig,0,1,A
9/4/2023,Borussia M'gladbach,Wolfsburg,2,0,H
9/4/2023,Bochum,Stuttgart,2,3,A
10/4/2023,Hoffenheim,Schalke 04,2,0,H
22/4/2023,Augsburg,Stuttgart,1,1,D
22/4/2023,Mainz,Bayern Munich,3,1,H
22/4/2023,Hoffenheim,FC Cologne,1,3,A
22/4/2023,Bochum,Wolfsburg,1,5,A
22/4/2023,Hertha Berlin,Werder Bremen,2,4,A
23/4/2023,Borussia Dortmund,Eintracht Frankfurt,4,0,H
23/4/2023,Freiburg,Schalke 04,4,0,H
23/4/2023,Bayer Leverkusen,RB Leipzig,2,0,H
24/4/2023,Borussia M'gladbach,Union Berlin,0,1,A
