Date,Home,Away,HG,AG,Res
16/01/2023,Rennes,PSG,1,0,H
12/01/2023,Ajaccio,Reims,0,1,A
12/01/2023,Auxerre,Toulouse,0,5,A
12/01/2023,Clermont,Rennes,2,1,H
12/01/2023,Nantes,Lyon,0,0,D
12/01/2023,Brest,Lille,0,0,D
12/01/2023,Lorient,Monaco,2,2,D
12/01/2023,Nice,Montpellier,6,1,H
12/01/2023,PSG,Angers,2,0,H
12/01/2023,Strasbourg,Lens,2,2,D
12/01/2023,Troyes,Marseille,0,2,A
01/01/2023,Monaco,Brest,1,0,H
01/01/2023,Angers,Lorient,1,2,A
01/01/2023,Nantes,Auxerre,1,0,H
01/01/2023,Toulouse,Ajaccio,2,0,H
02/01/2023,Lyon,Clermont,0,1,A
02/01/2023,Lens,PSG,3,1,H
02/01/2023,Strasbourg,Troyes,2,3,A
03/01/2023,Lille,Reims,1,1,D
03/01/2023,Montpellier,Marseille,1,2,A
03/01/2023,Rennes,Nice,2,1,H
28/12/2022,Ajaccio,Angers,1,0,H
28/12/2022,Troyes,Nantes,0,0,D
29/12/2022,Auxerre,Monaco,2,3,A
29/12/2022,Clermont,Lille,0,2,A
29/12/2022,PSG,Strasbourg,2,1,H
29/12/2022,Brest,Lyon,2,4,A
30/12/2022,Lorient,Montpellier,0,2,A
30/12/2022,Reims,Rennes,3,1,H
30/12/2022,Nice,Lens,0,0,D
30/12/2022,Marseille,Toulouse,6,1,H
12/11/2022,Lyon,Nice,1,1,D
13/11/2022,Lens,Clermont,2,1,H
13/11/2022,Rennes,Toulouse,2,1,H
13/11/2022,PSG,Auxerre,5,0,H
13/11/2022,Nantes,Ajaccio,2,2,D
13/11/2022,Lille,Angers,1,0,H
13/11/2022,Montpellier,Reims,1,1,D
13/11/2022,Brest,Troyes,2,1,H
14/11/2022,Strasbourg,Lorient,1,1,D
14/11/2022,Monaco,Marseille,2,3,A
05/11/2022,Troyes,Auxerre,1,1,D
06/11/2022,Ajaccio,Strasbourg,4,2,H
06/11/2022,Angers,Lens,1,2,A
06/11/2022,Lorient,PSG,1,2,A
06/11/2022,Clermont,Montpellier,1,1,D
06/11/2022,Nice,Brest,1,0,H
06/11/2022,Reims,Nantes,1,0,H
06/11/2022,Toulouse,Monaco,0,2,A
07/11/2022,Lille,Rennes,1,1,D
07/11/2022,Marseille,Lyon,1,0,H
29/10/2022,Lens,Toulouse,3,0,H
29/10/2022,PSG,Troyes,4,3,H
30/10/2022,Strasbourg,Marseille,2,2,D
30/10/2022,Auxerre,Ajaccio,1,0,H
30/10/2022,Monaco,Angers,2,0,H
30/10/2022,Nantes,Clermont,1,1,D
30/10/2022,Brest,Reims,0,0,D
30/10/2022,Rennes,Montpellier,3,0,H
31/10/2022,Lorient,Nice,1,2,A
31/10/2022,Lyon,Lille,1,0,H
22/10/2022,Ajaccio,PSG,0,3,A
22/10/2022,Montpellier,Lyon,1,2,A
23/10/2022,Marseille,Lens,0,1,A
23/10/2022,Angers,Rennes,1,2,A
23/10/2022,Clermont,Brest,1,3,A
23/10/2022,Reims,Auxerre,2,1,H
23/10/2022,Toulouse,Strasbourg,2,2,D
23/10/2022,Troyes,Lorient,2,2,D
23/10/2022,Nice,Nantes,1,1,D
24/10/2022,Lille,Monaco,4,3,H
15/10/2022,Strasbourg,Lille,0,3,A
15/10/2022,Lorient,Reims,0,0,D
16/10/2022,Lens,Montpellier,1,0,H
16/10/2022,Toulouse,Angers,3,2,H
16/10/2022,Auxerre,Nice,1,1,D
16/10/2022,Nantes,Brest,4,1,H
16/10/2022,Rennes,Lyon,3,2,H
16/10/2022,Troyes,Ajaccio,1,1,D
16/10/2022,Monaco,Clermont,1,1,D
17/10/2022,PSG,Marseille,1,0,H
08/10/2022,Lyon,Toulouse,1,1,D
08/10/2022,Marseille,Ajaccio,1,2,A
09/10/2022,Reims,PSG,0,0,D
09/10/2022,Montpellier,Monaco,0,2,A
09/10/2022,Angers,Strasbourg,2,3,A
09/10/2022,Clermont,Auxerre,2,1,H
09/10/2022,Nice,Troyes,3,2,H
09/10/2022,Brest,Lorient,1,2,A
09/10/2022,Rennes,Nantes,3,0,H
10/10/2022,Lille,Lens,1,0,H
01/10/2022,Angers,Marseille,0,3,A
01/10/2022,Strasbourg,Rennes,1,3,A
02/10/2022,PSG,Nice,2,1,H
02/10/2022,Lorient,Lille,2,1,H
02/10/2022,Ajaccio,Clermont,1,3,A
02/10/2022,Auxerre,Brest,1,1,D
02/10/2022,Toulouse,Montpellier,4,2,H
02/10/2022,Troyes,Reims,2,2,D
02/10/2022,Monaco,Nantes,4,1,H
03/10/2022,Lens,Lyon,1,0,H
17/09/2022,Auxerre,Lorient,1,3,A
17/09/2022,Montpellier,Strasbourg,2,1,H
18/09/2022,Lille,Toulouse,2,1,H
18/09/2022,Reims,Monaco,0,3,A
18/09/2022,Clermont,Troyes,1,3,A
18/09/2022,Nice,Angers,0,1,A
18/09/2022,Marseille,Rennes,1,1,D
18/09/2022,Brest,Ajaccio,0,1,A
18/09/2022,Nantes,Lens,0,0,D
19/09/2022,Lyon,PSG,0,1,A
10/09/2022,Lens,Troyes,1,0,H
10/09/2022,PSG,Brest,1,0,H
11/09/2022,Marseille,Lille,2,1,H
11/09/2022,Strasbourg,Clermont,0,0,D
11/09/2022,Ajaccio,Nice,0,1,A
11/09/2022,Angers,Montpellier,2,1,H
11/09/2022,Lorient,Nantes,3,2,H
11/09/2022,Toulouse,Reims,1,0,H
11/09/2022,Rennes,Auxerre,5,0,H
12/09/2022,Monaco,Lyon,2,1,H
03/09/2022,Auxerre,Marseille,0,2,A
04/09/2022,Lyon,Angers,5,0,H
04/09/2022,Nantes,PSG,0,3,A
04/09/2022,Montpellier,Lille,1,3,A
04/09/2022,Ajaccio,Lorient,0,1,A
04/09/2022,Clermont,Toulouse,2,0,H
04/09/2022,Brest,Strasbourg,1,1,D
04/09/2022,Reims,Lens,1,1,D
04/09/2022,Troyes,Rennes,1,1,D
05/09/2022,Nice,Monaco,0,1,A
01/09/2022,Monaco,Troyes,2,4,A
01/09/2022,Angers,Reims,2,4,A
01/09/2022,Montpellier,Ajaccio,2,0,H
01/09/2022,Lyon,Auxerre,2,1,H
01/09/2022,Strasbourg,Nantes,1,1,D
01/09/2022,Lille,Nice,1,2,A
01/09/2022,Marseille,Clermont,1,0,H
01/09/2022,Lens,Lorient,5,2,H
01/09/2022,Rennes,Brest,3,1,H
01/09/2022,Toulouse,PSG,0,3,A
27/08/2022,Ajaccio,Lille,1,3,A
27/08/2022,Auxerre,Strasbourg,1,0,H
28/08/2022,Lens,Rennes,2,1,H
28/08/2022,Nantes,Toulouse,3,1,H
28/08/2022,Lorient,Clermont,2,1,H
28/08/2022,Nice,Marseille,0,3,A
28/08/2022,Brest,Montpellier,0,7,A
28/08/2022,Troyes,Angers,3,1,H
28/08/2022,Reims,Lyon,1,1,D
29/08/2022,PSG,Monaco,1,1,D
20/08/2022,Lyon,Troyes,4,1,H
20/08/2022,Monaco,Lens,1,4,A
21/08/2022,Marseille,Nantes,2,1,H
21/08/2022,Strasbourg,Reims,1,1,D
21/08/2022,Angers,Brest,1,3,A
21/08/2022,Clermont,Nice,1,0,H
21/08/2022,Montpellier,Auxerre,1,2,A
21/08/2022,Toulouse,Lorient,2,2,D
21/08/2022,Rennes,Ajaccio,2,1,H
22/08/2022,Lille,PSG,1,7,A
13/08/2022,Nantes,Lille,1,1,D
13/08/2022,Monaco,Rennes,1,1,D
14/08/2022,PSG,Montpellier,5,2,H
14/08/2022,Ajaccio,Lens,0,0,D
14/08/2022,Auxerre,Angers,2,2,D
14/08/2022,Reims,Clermont,2,4,A
14/08/2022,Troyes,Toulouse,0,3,A
14/08/2022,Nice,Strasbourg,1,1,D
15/08/2022,Brest,Marseille,1,1,D
08/09/2022,Lorient,Lyon,3,1,H
06/08/2022,Lyon,Ajaccio,2,1,H
06/08/2022,Strasbourg,Monaco,1,2,A
07/08/2022,Clermont,PSG,0,5,A
07/08/2022,Toulouse,Nice,1,1,D
07/08/2022,Lille,Auxerre,4,1,H
07/08/2022,Angers,Nantes,0,0,D
07/08/2022,Montpellier,Troyes,3,2,H
07/08/2022,Lens,Brest,3,2,H
07/08/2022,Rennes,Lorient,0,1,A
08/08/2022,Marseille,Reims,4,1,H
