Date,Home,Away,HG,AG,Res
2023-02-25,JEF United,Montedio Yamagata,1,3,A
2023-02-25,Fujieda MYFC,V-Varen Nagasaki,2,0,H
2023-02-19,Tokyo Verdy,Zweigen Kanazawa,1,0,H
2023-02-19,Machida Zelvia,Vegalta Sendai,0,0,D
2023-02-19,Tokushima Vortis,Oita Trinita,1,2,A
2023-02-19,Tochigi,Roasso Kumamoto,1,1,D
2023-02-18,Ventforet Kofu,Montedio Yamagata,1,2,A
2023-02-18,Iwaki,Fujieda MYFC,2,3,A
2023-02-18,ThespaKusatsu Gunma,Blaublitz Akita,0,0,D
2023-02-18,Shimizu S-Pulse,Mito Hollyhock,0,0,D
2023-02-18,Júbilo Iwata,Fagiano Okayama,2,3,A
2023-02-18,Renofa Yamaguchi,Omiya Ardija,1,0,H
2023-02-18,V-Varen Nagasaki,JEF United,0,1,A
