Date,Home,Away
19/04/2023,Accrington Stanley,Peterborough United
19/04/2023,Bristol Rovers,Sheffield Wednesday
19/04/2023,Burton Albion,Bolton Wanderers
19/04/2023,Cambridge United,Wycombe Wanderers
19/04/2023,Exeter City,Derby County
19/04/2023,Forest Green Rovers,Fleetwood Town
19/04/2023,Ipswich Town,Port Vale
19/04/2023,Lincoln City,Barnsley
19/04/2023,Milton Keynes Dons,Charlton Athletic
19/04/2023,Oxford United,Portsmouth
19/04/2023,Shrewsbury Town,Plymouth Argyle
22/04/2023,Barnsley,Oxford United
22/04/2023,Bolton Wanderers,Shrewsbury Town
22/04/2023,Charlton Athletic,Morecambe
22/04/2023,Cheltenham Town,Forest Green Rovers
22/04/2023,Derby County,Burton Albion
22/04/2023,Fleetwood Town,Milton Keynes Dons
22/04/2023,Peterborough United,Ipswich Town
22/04/2023,Plymouth Argyle,Cambridge United
22/04/2023,Port Vale,Bristol Rovers
22/04/2023,Portsmouth,Accrington Stanley
22/04/2023,Sheffield Wednesday,Exeter City
22/04/2023,Wycombe Wanderers,Lincoln City
