Date,Home,Away,PredictResult,H,D,A
24/04/2023,Haka,Honka,Honka,33.20%,31.58%,35.22%
29/04/2023,Lahti,Inter Turku,Draw,29.58%,36.61%,33.81%
29/04/2023,HJK,Haka,HJK,58.62%,24.42%,16.96%
29/04/2023,VPS,Honka,Honka,24.72%,33.18%,42.09%
29/04/2023,Ilves,KTP,KTP,31.55%,31.95%,36.50%
29/04/2023,Oulu,SJK,Oulu,38.08%,32.39%,29.53%
