Date,Home,Away,PredictResult,H,D,A
06/05/2023,Bayer Leverkusen,FC Cologne,FC Cologne,23.38%,23.97%,52.65%,1.06,1.68
06/05/2023,Mainz,Schalke 04,Mainz,38.03%,27.29%,34.68%,1.26,1.19
06/05/2023,Freiburg,RB Leipzig,RB Leipzig,5.86%,13.94%,80.19%,0.52,2.24
06/05/2023,Hoffenheim,Eintracht Frankfurt,Eintracht Frankfurt,29.63%,23.33%,47.05%,1.36,1.73
06/05/2023,Borussia M'gladbach,Bochum,Borussia M'gladbach,51.65%,23.22%,25.14%,1.76,1.19
06/05/2023,Augsburg,Union Berlin,Union Berlin,19.90%,33.79%,46.31%,0.57,1.03
06/05/2023,Hertha Berlin,Stuttgart,Stuttgart,19.39%,23.73%,56.88%,0.90,1.68
07/05/2023,Werder Bremen,Bayern Munich,Bayern Munich,5.28%,8.48%,86.24%,1.12,2.33
07/05/2023,Borussia Dortmund,Wolfsburg,Wolfsburg,20.20%,24.94%,54.86%,0.87,1.58
