Date,Home,Away,PredictResult,H,D,A
29/04/2023,Rio Ave,Arouca,Arouca,19.97%,39.18%,40.85%
29/04/2023,Marítimo,Vitoria Guimaraes,Vitoria Guimaraes,28.67%,29.21%,42.12%
29/04/2023,Sporting Braga,Portimonense,Sporting Braga,77.20%,15.63%,7.17%
30/04/2023,Chaves,Casa Pia,Casa Pia,25.11%,29.00%,45.90%
30/04/2023,Vizela,Paços Ferreira,Vizela,49.23%,30.09%,20.69%
30/04/2023,Gil Vicente,Benfica,Benfica,5.52%,12.93%,81.55%
30/04/2023,Estoril,Santa Clara,Santa Clara,24.65%,27.42%,47.93%
01/05/2023,Porto,Boavista,Porto,77.51%,16.66%,5.83%
01/05/2023,Sporting Lisbon,Famalicão,Sporting Lisbon,50.94%,21.58%,27.48%
