Date,Home,Away,PredictResult,H,D,A
06/05/2023,Alaves,Granada,Alaves,35.22%,34.62%,30.16%,0.87,0.78
06/05/2023,Mirandes,Racing Santander,Racing Santander,20.88%,29.64%,49.47%,0.70,1.24
07/05/2023,Leganes,Huesca,Huesca,14.57%,39.52%,45.92%,0.35,0.86
07/05/2023,Tenerife,Levante,Levante,6.50%,36.88%,56.62%,0.18,0.99
07/05/2023,Villarreal II,Sporting Gijon,Sporting Gijon,11.91%,21.38%,66.72%,0.63,1.79
07/05/2023,Ponferradina,Malaga,Malaga,12.22%,20.83%,66.94%,0.67,1.85
07/05/2023,Ibiza,Albacete,Albacete,18.07%,22.21%,59.72%,0.93,1.82
08/05/2023,Real Oviedo,Real Zaragoza,Draw,26.52%,37.86%,35.61%,0.63,0.78
08/05/2023,Lugo,FC Andorra,FC Andorra,12.06%,31.89%,56.04%,0.38,1.16
08/05/2023,FC Cartagena,Burgos,FC Cartagena,49.71%,32.93%,17.36%,1.09,0.52
09/05/2023,Eibar,Las Palmas,Las Palmas,25.27%,36.41%,38.32%,0.64,0.86
