Date,Home,Away,PredictResult,H,D,A
13/05/2023,Mallorca,Cadiz,Mallorca,47.47%,33.44%,19.10%,1.06,0.56
13/05/2023,Real Sociedad,Girona,Real Sociedad,43.19%,26.97%,29.84%,1.36,1.09
13/05/2023,Osasuna,Almeria,Osasuna,44.51%,29.30%,26.19%,1.22,0.87
14/05/2023,Villarreal,Athletic Bilbao,Villarreal,35.84%,33.40%,30.76%,0.92,0.83
14/05/2023,Real Madrid,Getafe,Real Madrid,72.03%,17.07%,10.90%,2.18,0.80
14/05/2023,Celta Vigo,Valencia,Valencia,28.24%,28.36%,43.41%,0.97,1.27
14/05/2023,Elche,Atletico Madrid,Atletico Madrid,5.53%,14.29%,80.18%,0.47,2.19
15/05/2023,Real Valladolid,Sevilla,Sevilla,24.76%,27.26%,47.98%,0.92,1.38
15/05/2023,Espanyol,Barcelona,Barcelona,4.05%,16.09%,79.86%,0.28,1.96
16/05/2023,Real Betis,Rayo Vallecano,Real Betis,37.15%,32.05%,30.80%,0.99,0.88
