Date,Home,Away,PredictResult,H,D,A
24/04/2023,Haka,Honka,Honka,34.38%,30.82%,34.80%
29/04/2023,Lahti,Inter Turku,Draw,26.37%,37.33%,36.30%
29/04/2023,HJK,Haka,HJK,56.87%,25.22%,17.92%
29/04/2023,VPS,Honka,Honka,25.57%,34.43%,39.99%
29/04/2023,Ilves,KTP,KTP,34.08%,31.34%,34.58%
29/04/2023,Oulu,SJK,Oulu,39.41%,32.87%,27.72%
