Date,Home,Away,PredictResult,H,D,A
29/04/2023,Bochum,Borussia Dortmund,Borussia Dortmund,2.60%,5.45%,91.95%
29/04/2023,RB Leipzig,Hoffenheim,RB Leipzig,44.84%,30.20%,24.97%
29/04/2023,Union Berlin,Bayer Leverkusen,Bayer Leverkusen,24.26%,28.93%,46.81%
29/04/2023,FC Cologne,Freiburg,Freiburg,10.88%,22.67%,66.45%
29/04/2023,Eintracht Frankfurt,Augsburg,Eintracht Frankfurt,39.47%,27.63%,32.90%
29/04/2023,Stuttgart,Borussia M'gladbach,Borussia M'gladbach,15.33%,24.29%,60.38%
30/04/2023,Schalke 04,Werder Bremen,Werder Bremen,12.89%,19.68%,67.42%
30/04/2023,Bayern Munich,Hertha Berlin,Bayern Munich,75.72%,13.96%,10.32%
30/04/2023,Wolfsburg,Mainz,Mainz,30.68%,23.73%,45.59%
