Date,Home,Away,PredictResult,H,D,A
29/04/2023,Rio Ave,Arouca,Arouca,22.57%,23.98%,53.45%
29/04/2023,Marítimo,Vitoria Guimaraes,Vitoria Guimaraes,10.99%,20.05%,68.96%
29/04/2023,Sporting Braga,Portimonense,Sporting Braga,63.45%,26.68%,9.86%
30/04/2023,Chaves,Casa Pia,Draw,15.62%,51.51%,32.87%
30/04/2023,Vizela,Paços Ferreira,Vizela,54.50%,28.44%,17.05%
30/04/2023,Gil Vicente,Benfica,Benfica,4.53%,9.26%,86.22%
30/04/2023,Estoril,Santa Clara,Santa Clara,32.31%,28.00%,39.69%
01/05/2023,Porto,Boavista,Porto,63.71%,25.75%,10.55%
01/05/2023,Sporting Lisbon,Famalicão,Sporting Lisbon,66.79%,19.97%,13.24%
