Date,Home,Away,PredictResult,H,D,A
14/4/2023,Newcastle Jets,Macarthur,Macarthur,24.89%,23.69%,51.42%
15/4/2023,Central Coast Mariners,Melbourne City,Central Coast Mariners,40.70%,22.95%,36.35%
15/4/2023,Western Sydney Wanderers,Melbourne Victory,Western Sydney Wanderers,40.06%,32.79%,27.15%
16/4/2023,Wellington Phoenix,Brisbane Roar,Brisbane Roar,19.13%,22.00%,58.86%
16/4/2023,Sydney,Perth Glory,Perth Glory,30.00%,29.26%,40.75%
16/4/2023,Adelaide United,Western United,Adelaide United,88.99%,7.16%,3.85%
