Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Russia,Premier League,2019/2020,12/7/2019,18:00,Arsenal Tula,Dynamo Moscow,1,1,D,3.4,2.99,2.37,3.7,3.07,2.55,3.33,2.93,2.36
Russia,Premier League,2019/2020,13/7/2019,14:30,Ural,Ufa,3,2,H,2.1,3.14,3.92,2.26,3.3,4,2.15,3.02,3.72
Russia,Premier League,2019/2020,13/7/2019,17:00,Spartak Moscow,Sochi,1,0,H,1.41,4.63,7.33,1.45,5.05,9.4,1.41,4.52,7.46
Russia,Premier League,2019/2020,13/7/2019,19:30,FK Rostov,Orenburg,2,1,H,2.15,2.97,4.01,2.17,3.22,5.1,2.06,3,4.06
Russia,Premier League,2019/2020,14/7/2019,14:30,Krylya Sovetov,CSKA Moscow,2,0,H,5.1,3.24,1.83,5.15,3.62,1.9,4.77,3.28,1.81
Russia,Premier League,2019/2020,14/7/2019,17:00,Zenit,Tambov,2,1,H,1.17,6.95,14.83,1.22,8.4,19,1.17,7.03,14.22
Russia,Premier League,2019/2020,14/7/2019,19:30,Akhmat Grozny,Krasnodar,1,0,H,3.3,3.29,2.25,4.1,3.33,2.32,3.39,3.2,2.18
Russia,Premier League,2019/2020,15/7/2019,18:00,Lokomotiv Moscow,Rubin Kazan,1,1,D,1.54,3.63,7.35,1.61,4.5,8.5,1.55,3.69,6.76
Russia,Premier League,2019/2020,20/7/2019,12:00,Ufa,Krasnodar,2,3,A,4.71,3.47,1.87,5.15,3.47,1.91,4.48,3.32,1.85
Russia,Premier League,2019/2020,20/7/2019,14:30,Krylya Sovetov,Arsenal Tula,2,3,A,2.34,3.03,3.61,2.44,3.13,3.61,2.31,2.99,3.35
Russia,Premier League,2019/2020,20/7/2019,17:00,CSKA Moscow,Orenburg,2,1,H,1.42,4.46,8.87,1.45,4.5,12.5,1.41,4.18,8.65
