Date,Home,Away
14/4/2023,Newcastle Jets,Macarthur
15/4/2023,Central Coast Mariners,Melbourne City
15/4/2023,Western Sydney Wanderers,Melbourne Victory
16/4/2023,Wellington Phoenix,Brisbane Roar
16/4/2023,Sydney,Perth Glory
16/4/2023,Adelaide United,Western United
