Date,Home,Away
21/04/2023,Western Sydney Wanderers,Wellington Phoenix
22/04/2023,Newcastle Jets,Central Coast Mariners
22/04/2023,Western United,Melbourne City
23/04/2023,Melbourne Victory,Macarthur
23/04/2023,Perth Glory,Adelaide United
24/04/2023,Brisbane Roar,Sydney
