Date,Home,Away,HG,AG,Res
22/04/2023,Arsenal,Southampton
22/04/2023,Fulham,Leeds United
22/04/2023,Brentford,Aston Villa
22/04/2023,Crystal Palace,Everton
22/04/2023,Leicester City,Wolverhampton Wanderers
22/04/2023,Liverpool,Nottingham Forest
23/04/2023,AFC Bournemouth,West Ham United
23/04/2023,Newcastle United,Tottenham Hotspur
24/05/2023,Brighton & Hove Albion,Manchester City
25/05/2023,Manchester United,Chelsea
