Date,Home,Away,HG,AG,Res
06/05/2023,Dordrecht,Heracles,,,D
06/05/2023,De Graafschap,MVV,,,D
06/05/2023,Helmond Sport,VVV,,,D
06/05/2023,Roda JC,Eindhoven,,,D
06/05/2023,Telstar,Willem II,,,D
07/05/2023,Almere City,NAC Breda,,,D
09/05/2023,Ajax II,ADO Den Haag,,,D
09/05/2023,AZ II,TOP Oss,,,D
09/05/2023,PSV II,PEC Zwolle,,,D
09/05/2023,Utrecht II,Den Bosch,,,D
