Date,Home,Away
15/04/2023,Middlesbrough,Norwich City
15/04/2023,Sheffield United,Cardiff City
15/04/2023,Blackpool,Wigan Athletic
15/04/2023,Millwall,Preston North End
15/04/2023,Queens Park Rangers,Coventry City
15/04/2023,Reading,Burnley
15/04/2023,Rotherham United,Luton Town
15/04/2023,Stoke City,West Bromwich Albion
15/04/2023,Sunderland,Birmingham City
15/04/2023,Swansea City,Huddersfield Town
15/04/2023,Watford,Bristol City
16/04/2023,Blackburn Rovers,Hull City
