Date,Home,Away
02/07/2023,Talleres de Córdoba,Godoy Cruz
02/07/2023,Boca Juniors,Sarmiento
02/07/2023,Atlético Tucumán,Unión
02/07/2023,Independiente,Huracán
02/07/2023,Newell's Old Boys,Gimnasia La Plata
05/07/2023,Central Córdoba SdE,Newell's Old Boys
05/07/2023,Gimnasia La Plata,Independiente
05/07/2023,Huracán,Atlético Tucumán
05/07/2023,Unión,Boca Juniors
05/07/2023,Sarmiento,Talleres de Córdoba
05/07/2023,Godoy Cruz,Platense
05/07/2023,Lanús,Vélez Sarsfield
05/07/2023,Arsenal,Defensa y Justicia
05/07/2023,Tigre,Banfield
05/07/2023,Argentinos Juniors,Instituto
05/07/2023,Belgrano,Barracas Central
05/07/2023,River Plate,Colón
05/07/2023,Racing Club,San Lorenzo
05/07/2023,Rosario Central,Estudiantes
09/07/2023,Rosario Central,Central Córdoba SdE
09/07/2023,Estudiantes,Racing Club
09/07/2023,San Lorenzo,River Plate
09/07/2023,Colón,Belgrano
09/07/2023,Barracas Central,Argentinos Juniors
09/07/2023,Instituto,Tigre
09/07/2023,Banfield,Arsenal
09/07/2023,Defensa y Justicia,Lanús
09/07/2023,Vélez Sarsfield,Godoy Cruz
09/07/2023,Platense,Sarmiento
09/07/2023,Talleres de Córdoba,Unión
09/07/2023,Boca Juniors,Huracán
09/07/2023,Atlético Tucumán,Gimnasia La Plata
09/07/2023,Independiente,Newell's Old Boys
16/07/2023,Central Córdoba SdE,Independiente
16/07/2023,Newell's Old Boys,Atlético Tucumán
16/07/2023,Gimnasia La Plata,Boca Juniors
16/07/2023,Huracán,Talleres de Córdoba
16/07/2023,Unión,Platense
16/07/2023,Sarmiento,Vélez Sarsfield
16/07/2023,Godoy Cruz,Defensa y Justicia
16/07/2023,Lanús,Banfield
16/07/2023,Arsenal,Instituto
16/07/2023,Tigre,Barracas Central
16/07/2023,Argentinos Juniors,Colón
16/07/2023,Belgrano,San Lorenzo
16/07/2023,River Plate,Estudiantes
16/07/2023,Racing Club,Rosario Central
23/07/2023,Racing Club,Central Córdoba SdE
23/07/2023,Rosario Central,River Plate
23/07/2023,Estudiantes,Belgrano
23/07/2023,San Lorenzo,Argentinos Juniors
23/07/2023,Colón,Tigre
23/07/2023,Barracas Central,Arsenal
23/07/2023,Instituto,Lanús
23/07/2023,Banfield,Godoy Cruz
23/07/2023,Defensa y Justicia,Sarmiento
23/07/2023,Vélez Sarsfield,Unión
23/07/2023,Platense,Huracán
23/07/2023,Talleres de Córdoba,Gimnasia La Plata
23/07/2023,Boca Juniors,Newell's Old Boys
23/07/2023,Atlético Tucumán,Independiente
30/07/2023,Central Córdoba SdE,Atlético Tucumán
30/07/2023,Independiente,Boca Juniors
30/07/2023,Newell's Old Boys,Talleres de Córdoba
30/07/2023,Gimnasia La Plata,Platense
30/07/2023,Huracán,Vélez Sarsfield
30/07/2023,Unión,Defensa y Justicia
30/07/2023,Sarmiento,Banfield
30/07/2023,Godoy Cruz,Instituto
30/07/2023,Lanús,Barracas Central
30/07/2023,Arsenal,Colón
30/07/2023,Tigre,San Lorenzo
30/07/2023,Argentinos Juniors,Estudiantes
30/07/2023,Belgrano,Rosario Central
30/07/2023,River Plate,Racing Club
