Date,Home,Away
15/04/2023,Yokohama,Sanfrecce Hiroshima
15/04/2023,Albirex Niigata,Avispa Fukuoka
15/04/2023,Urawa Reds,Consadole Sapporo
15/04/2023,Kawasaki Frontale,Nagoya Grampus
15/04/2023,Shonan Bellmare,Yokohama F. Marinos
15/04/2023,Sagan Tosu,Kashiwa Reysol
15/04/2023,Kashima Antlers,Vissel Kobe
15/04/2023,Tokyo,Cerezo Osaka
15/04/2023,Kyoto Sanga,Gamba Osaka
