Team,Attack,Defense
Blackburn,0.6136016792367108,0.6136016792367108
Stoke,0.5351253275080199,0.5351253275080199
Sheffield United,0.5999954831055936,0.5999954831055936
Reading,1.1941215819760604,1.1941215819760604
Norwich,1.2863327057997118,1.2863327057997118
Sunderland,0.8121223493146772,0.8121223493146772
Cardiff,1.1463618620563922,1.1463618620563922
Burnley,0.2765576497969328,0.2765576497969328
Wigan,0.4275476872077216,0.4275476872077216
QPR,1.2117299961169392,1.2117299961169392
Luton,0.6111811777147951,0.6111811777147951
Rotherham,0.5513035484089712,0.5513035484089712
Coventry,0.6031280782901761,0.6031280782901761
West Brom,0.6088502471598479,0.6088502471598479
Swansea,2.3828029221060834,2.3828029221060834
Huddersfield,2.295496010975826,2.295496010975826
Bristol City,0.6491231083026793,0.6491231083026793
Millwall,0.9075727748036441,0.9075727748036441
Hull,0.5231763705980874,0.5231763705980874
Preston,1.402151439468547,1.402151439468547
Blackpool,1.1554881705282094,1.1554881705282094
Watford,1.5231512928635917,1.5231512928635917
Birmingham,1.5257785361447143,1.5257785361447143
Middlesbrough,0.8010341935320173,0.8010341935320173
