Team,Attack,Defense
Instituto,0.48158545474432285,0.48158545474432285
Gimnasia La Plata,1.3260053010663877,1.3260053010663877
Argentinos Juniors,0.5108055843657249,0.5108055843657249
Atlético Tucumán,1.0029600435754307,1.0029600435754307
Godoy Cruz,0.5574945171937914,0.5574945171937914
Independiente,0.38901659635902247,0.38901659635902247
Talleres de Córdoba,0.7616327392326693,0.7616327392326693
Boca Juniors,0.7149844191033177,0.7149844191033177
Estudiantes,1.3165028770984957,1.3165028770984957
Defensa y Justicia,0.8396442435785091,0.8396442435785091
Colón,1.2133636452841456,1.2133636452841456
Vélez Sarsfield,1.0868349523055796,1.0868349523055796
Rosario Central,0.8942768715067742,0.8942768715067742
Unión,1.234508411352904,1.234508411352904
Lanús,0.8548383324998173,0.8548383324998173
Tigre,1.2550703023060095,1.2550703023060095
Arsenal,1.2819421038128573,1.2819421038128573
River Plate,0.8511048852648005,0.8511048852648005
Platense,1.7152028967353503,1.7152028967353503
Central Córdoba SdE,0.8447498989920809,0.8447498989920809
Newell's Old Boys,0.9504996911885489,0.9504996911885489
Sarmiento,1.0305844952871277,1.0305844952871277
Huracán,1.2788066593049534,1.2788066593049534
Barracas Central,1.6549504138093982,1.6549504138093982
Belgrano,0.46461566684664113,0.46461566684664113
Racing Club,0.6886759736484931,0.6886759736484931
San Lorenzo,0.47957931815737237,0.47957931815737237
Banfield,0.9445018544961613,0.9445018544961613
