Date,Home,Away,HG,AG,Res
29/04/2023,ADO Den Haag,Helmond Sport
29/04/2023,Den Bosch,Telstar
29/04/2023,Eindhoven,Utrecht II
29/04/2023,Heracles,PSV II
29/04/2023,MVV,AZ II
29/04/2023,PEC Zwolle,Dordrecht
29/04/2023,TOP Oss,Almere City
29/04/2023,VVV,Ajax II
30/04/2023,NAC Breda,Roda JC
30/04/2023,Willem II,De Graafschap
