Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
EC,7/11/2020,Wealdstone,Altrincham,1,0,Wealdstone,Wealdstone,1,1.2999999999999998,2.3,3.6,2.87,0.0,0.0,Wealdstone,0.77,1.77,2.02,0.41121836695188835,0.0
SC1,7/11/2020,Arbroath,Queen of Sth,1,1,Draw,Arbroath,0,-1,2.15,3.2,3.2,0.0,-0.25,Draw,0,1.85,2.0,0.3970847243000798,0.0
SC1,7/11/2020,Ayr,Dunfermline,0,0,Draw,Ayr,0,-1,3.0,3.5,2.1,0.0,0.25,Draw,0,2.02,1.83,0.38627557627124415,0.0
SC1,7/11/2020,Hearts,Inverness C,2,1,Hearts,Hearts,1,0.3999999999999999,1.4,4.33,7.0,-1.5,-1.25,Inverness C,-1,2.0,1.85,0.4532994029242217,-1.5
SC1,7/11/2020,Raith Rvs,Morton,5,0,Raith Rvs,Raith Rvs,1,0.95,1.95,3.5,3.3,-0.5,-0.25,Raith Rvs,1.02,2.02,1.77,0.4540051675134791,-0.5
SC2,7/11/2020,Airdrie Utd,Clyde,5,0,Airdrie Utd,Airdrie Utd,1,1.15,2.15,3.75,2.7,-0.25,-0.25,Airdrie Utd,1.0,2.0,1.85,0.42434039504174365,-0.25
SC2,7/11/2020,Cove Rangers,Forfar,3,0,Cove Rangers,Cove Rangers,1,0.21999999999999997,1.22,5.25,10.0,-2.0,-1.75,Cove Rangers,0.8999999999999999,1.9,1.95,0.4734688494297314,-2.0
SC2,7/11/2020,East Fife,Dumbarton,2,1,East Fife,Dumbarton,0,-1,1.9,4.0,3.0,-0.25,-0.5,East Fife,-0.5,1.85,2.0,0.370494278892057,0.25
SC2,7/11/2020,Montrose,Peterhead,3,2,Montrose,Montrose,1,0.8500000000000001,1.85,3.75,3.25,-0.5,-0.5,Montrose,0.98,1.98,1.88,0.4304908759994871,-0.5
SC2,7/11/2020,Partick,Falkirk,2,2,Draw,Partick,0,-1,2.37,3.75,2.4,0.0,0.0,Draw,0,1.85,2.0,0.36869167018697135,0.0
SC3,7/11/2020,Annan Athletic,Albion Rvs,2,3,Albion Rvs,Annan Athletic,0,-1,1.6,3.75,4.33,-0.75,-0.75,Albion Rvs,-1,1.75,2.05,0.5055179831151738,-0.75
SC3,7/11/2020,Brechin,Stirling,0,5,Stirling,Brechin,0,-1,4.75,4.2,1.53,1.0,1.0,Stirling,-1,1.98,1.88,0.37626948276113037,1.0
SC3,7/11/2020,Elgin,Queens Park,0,1,Queens Park,Elgin,0,-1,2.5,3.5,2.3,0.25,0.0,Queens Park,-0.5,1.95,1.9,0.40070604666244375,0.25
SC3,7/11/2020,Stenhousemuir,Edinburgh City,2,0,Stenhousemuir,Stenhousemuir,1,2.1,3.1,3.8,1.95,0.5,0.25,Stenhousemuir,0.8300000000000001,1.83,2.02,0.41246290604409014,0.5
SC3,7/11/2020,Stranraer,Cowdenbeath,2,0,Stranraer,Stranraer,1,0.8999999999999999,1.9,3.8,3.1,-0.5,-0.25,Stranraer,0.98,1.98,1.88,0.39807323613917495,-0.5
D1,7/11/2020,Augsburg,Hertha,0,3,Hertha,Augsburg,0,-1,2.9,3.5,2.3,0.25,0.25,Hertha,-1,1.84,2.06,0.4779859680323241,0.25
D1,7/11/2020,Mainz,Schalke 04,2,2,Draw,Mainz,0,-1,2.1,3.4,3.4,-0.25,-0.25,Schalke 04,-0.5,2.06,1.84,0.44237681673760765,-0.25
D1,7/11/2020,RB Leipzig,Freiburg,3,0,RB Leipzig,RB Leipzig,1,0.3600000000000001,1.36,4.75,9.0,-1.25,-1.5,RB Leipzig,0.8300000000000001,1.83,2.07,0.5350782054717871,-1.25
D1,7/11/2020,Stuttgart,Ein Frankfurt,2,2,Draw,Stuttgart,0,-1,2.55,3.6,2.5,0.0,0.0,Draw,0,2.03,1.87,0.4637716637130308,0.0
D1,7/11/2020,Union Berlin,Bielefeld,5,0,Union Berlin,Union Berlin,1,0.8300000000000001,1.83,3.75,4.2,-0.75,-0.5,Union Berlin,1.0499999999999998,2.05,1.85,0.5048181659336209,-0.75
D1,7/11/2020,Dortmund,Bayern Munich,2,3,Bayern Munich,Dortmund,0,-1,4.0,4.33,1.75,0.25,0.75,Bayern Munich,-0.5,2.0,1.9,0.4540165495114887,0.25
D2,7/11/2020,Bochum,Greuther Furth,0,2,Greuther Furth,Bochum,0,-1,2.4,3.4,2.8,0.0,0.0,Greuther Furth,-1,1.93,1.93,0.41582427564923274,0.0
D2,7/11/2020,Hannover,Erzgebirge Aue,0,0,Draw,Hannover,0,-1,1.55,4.0,6.0,-1.0,-1.0,Erzgebirge Aue,-1,1.98,1.83,0.461549042127169,-1.0
D2,7/11/2020,Nurnberg,Fortuna Dusseldorf,1,1,Draw,Nurnberg,0,-1,2.45,3.3,2.8,0.0,0.0,Draw,0,1.9,1.95,0.4440319145298209,0.0
SP1,7/11/2020,Huesca,Eibar,1,1,Draw,Huesca,0,-1,2.05,3.3,3.6,-0.25,-0.25,Eibar,-0.5,1.95,1.95,0.3900145844546123,-0.25
SP1,7/11/2020,Barcelona,Betis,5,2,Barcelona,Barcelona,1,0.3999999999999999,1.4,5.0,7.5,-1.25,-1.25,Barcelona,1.04,2.04,1.86,0.46195670618459045,-1.25
SP1,7/11/2020,Sevilla,Osasuna,1,0,Sevilla,Sevilla,1,0.5,1.5,4.0,7.0,-1.0,-1.0,Draw,0,1.82,2.08,0.3974323028041303,-1.0
SP1,7/11/2020,Ath Madrid,Cadiz,4,0,Ath Madrid,Ath Madrid,1,0.3999999999999999,1.4,4.2,10.0,-1.25,-1.0,Ath Madrid,1.06,2.06,1.84,0.43418524932614205,-1.25
SP2,7/11/2020,Cartagena,Logrones,0,1,Logrones,Cartagena,0,-1,2.15,3.0,3.8,-0.25,-0.25,Logrones,-1,1.9,1.95,0.46491880981699113,-0.25
SP2,7/11/2020,Mirandes,Sp Gijon,1,0,Mirandes,Draw,0,-1,2.87,2.75,2.87,0.0,0.0,Mirandes,0,2.15,1.68,0.32558991400124987,-0.0
SP2,7/11/2020,Espanol,Lugo,2,1,Espanol,Espanol,1,0.43999999999999995,1.44,4.0,8.0,-1.0,-1.0,Draw,0,1.93,1.93,0.5159379480652627,-1.0
I1,7/11/2020,Cagliari,Sampdoria,2,0,Cagliari,Cagliari,1,1.75,2.75,3.5,2.4,0.0,0.0,Cagliari,1.1099999999999999,2.11,1.79,0.3846330885851049,0.0
I1,7/11/2020,Benevento,Spezia,0,3,Spezia,Benevento,0,-1,1.9,3.6,3.75,-0.25,-0.5,Spezia,-1,1.83,2.07,0.4589657793543461,-0.25
I1,7/11/2020,Parma,Fiorentina,0,0,Draw,Parma,0,-1,3.4,3.6,2.0,0.5,0.25,Parma,0.8500000000000001,1.85,2.05,0.420877546698251,0.5
I2,7/11/2020,Cosenza,Brescia,1,2,Brescia,Cosenza,0,-1,2.87,3.0,2.62,0.25,0.0,Brescia,-0.5,1.8,2.05,0.40517685376325296,0.25
I2,7/11/2020,Cremonese,Vicenza,0,1,Vicenza,Cremonese,0,-1,2.2,3.0,3.6,-0.25,-0.25,Vicenza,-1,1.93,1.93,0.41388881363045854,-0.25
I2,7/11/2020,Monza,Frosinone,2,0,Monza,Monza,1,1.0499999999999998,2.05,3.2,4.0,-0.25,-0.25,Monza,0.8,1.8,2.05,0.3613891038271614,-0.25
I2,7/11/2020,Pordenone,Chievo,1,1,Draw,Pordenone,0,-1,2.87,3.0,2.55,0.0,0.0,Draw,0,2.05,1.8,0.3532650351624777,0.0
I2,7/11/2020,Empoli,Reggina,3,0,Empoli,Empoli,1,1.1,2.1,3.1,3.6,-0.25,-0.25,Empoli,0.98,1.98,1.88,0.44364552835990345,-0.25
F1,7/11/2020,Bordeaux,Montpellier,0,2,Montpellier,Bordeaux,0,-1,2.3,3.3,3.1,0.0,-0.25,Montpellier,-1,1.88,2.05,0.4205128136726163,0.0
F1,7/11/2020,Paris SG,Rennes,3,0,Paris SG,Paris SG,1,0.3999999999999999,1.4,5.25,6.5,-1.25,-1.25,Paris SG,1.0899999999999999,2.09,1.84,0.54367949330894,-1.25
F2,7/11/2020,Clermont,Guingamp,0,0,Draw,Clermont,0,-1,2.15,3.2,3.2,-0.5,-0.25,Guingamp,-1,1.9,1.95,0.44772499194144755,-0.5
F2,7/11/2020,Grenoble,Le Havre,2,1,Grenoble,Grenoble,1,1.1,2.1,3.0,3.25,-0.25,-0.25,Grenoble,0.41500000000000004,1.83,2.02,0.4174523351300097,-0.25
F2,7/11/2020,Auxerre,Amiens,2,1,Auxerre,Auxerre,1,1.2999999999999998,2.3,2.9,3.0,0.0,-0.25,Auxerre,0.8,1.8,2.05,0.39584115121585267,0.0
F2,7/11/2020,Caen,Nancy,2,1,Caen,Caen,1,1.1,2.1,2.8,3.5,-0.25,-0.25,Caen,0.5,2.0,1.85,0.39806393816453894,-0.25
F2,7/11/2020,Chateauroux,Pau FC,0,3,Pau FC,Chateauroux,0,-1,2.5,3.0,2.62,0.0,0.0,Pau FC,-1,1.95,1.9,0.4439514204293904,0.0
F2,7/11/2020,Dunkerque,Paris FC,0,1,Paris FC,Paris FC,1,1.2999999999999998,3.2,2.9,2.3,0.5,0.25,Paris FC,1.0499999999999998,1.75,2.05,0.36885224193427657,-0.5
F2,7/11/2020,Rodez,Ajaccio,0,1,Ajaccio,Rodez,0,-1,2.8,2.9,2.4,0.0,0.0,Ajaccio,-1,2.05,1.8,0.42408368781950756,0.0
F2,7/11/2020,Sochaux,Niort,3,4,Niort,Sochaux,0,-1,1.95,3.0,4.0,-0.25,-0.5,Niort,-1,1.85,2.0,0.40881378695570664,-0.25
F2,7/11/2020,Toulouse,Valenciennes,4,5,Valenciennes,Toulouse,0,-1,1.75,3.1,4.5,-0.5,-0.5,Valenciennes,-1,1.93,1.93,0.4585042109600528,-0.5
F2,7/11/2020,Troyes,Chambly,2,2,Draw,Troyes,0,-1,1.5,3.5,6.0,-0.75,-1.0,Chambly,-0.5,1.93,1.93,0.6040680366021816,-0.75
B1,7/11/2020,Kortrijk,Beerschot VA,5,5,Draw,Kortrijk,0,-1,2.37,3.6,2.75,0.0,-0.25,Draw,0,1.9,1.95,0.4343905932782496,0.0
B1,7/11/2020,Eupen,Waasland-Beveren,1,1,Draw,Eupen,0,-1,1.45,4.33,7.0,-0.75,-1.25,Waasland-Beveren,-0.5,1.85,2.0,0.49886057315721105,-0.75
B1,7/11/2020,St Truiden,Genk,1,2,Genk,Genk,1,1.0,3.5,3.5,2.0,0.5,0.25,Genk,0.8799999999999999,1.98,1.88,0.41398741458249033,-0.5
N1,7/11/2020,Den Haag,Twente,2,4,Twente,Twente,1,0.8999999999999999,3.75,3.6,1.9,0.75,0.5,Twente,0.8600000000000001,2.04,1.86,0.4699060360226817,-0.75
N1,7/11/2020,VVV Venlo,Heracles,3,2,VVV Venlo,VVV Venlo,1,2.0,3.0,3.4,2.25,0.5,0.25,VVV Venlo,0.8999999999999999,1.9,2.0,0.40317520614408053,0.5
N1,7/11/2020,Waalwijk,Sparta Rotterdam,0,2,Sparta Rotterdam,Waalwijk,0,-1,2.8,3.5,2.37,0.25,0.25,Sparta Rotterdam,-1,2.08,1.82,0.4445935567951852,0.25
P1,7/11/2020,Tondela,Santa Clara,2,0,Tondela,Santa Clara,0,-1,2.87,3.2,2.5,0.25,0.0,Tondela,-1,2.0,1.9,0.37663753745548906,-0.25
P1,7/11/2020,Famalicao,Maritimo,2,1,Famalicao,Famalicao,1,1.15,2.15,3.25,3.3,-0.25,-0.25,Famalicao,0.43000000000000005,1.86,2.04,0.429361762549368,-0.25
P1,7/11/2020,Guimaraes,Sp Lisbon,0,4,Sp Lisbon,Sp Lisbon,1,1.1,3.8,3.0,2.1,0.5,0.25,Sp Lisbon,0.95,1.95,1.95,0.3751168559850108,-0.5
T1,7/11/2020,Kasimpasa,Antalyaspor,2,2,Draw,Kasimpasa,0,-1,1.8,3.6,3.75,-0.75,-0.5,Antalyaspor,-0.5,2.0,1.85,0.4498653365050083,-0.75
T1,7/11/2020,Alanyaspor,Trabzonspor,1,1,Draw,Alanyaspor,0,-1,1.72,3.8,4.5,-0.75,-0.75,Trabzonspor,-0.5,1.83,2.02,0.5863773429004109,-0.75
T1,7/11/2020,Erzurum BB,Goztep,1,1,Draw,Erzurum BB,0,-1,2.3,3.2,3.1,0.0,0.0,Draw,0,1.65,2.2,0.3833373239601919,0.0
T1,7/11/2020,Fenerbahce,Konyaspor,0,2,Konyaspor,Fenerbahce,0,-1,1.4,4.0,7.5,-1.25,-1.25,Konyaspor,-1,1.85,2.0,0.46834638585415017,-1.25
G1,7/11/2020,Giannina,Panetolikos,0,0,Draw,Giannina,0,-1,1.9,3.1,4.5,-0.75,-0.5,Panetolikos,-0.5,2.02,1.83,0.5055421358969606,-0.75
G1,7/11/2020,Panathinaikos,Atromitos,0,1,Atromitos,Panathinaikos,0,-1,1.75,3.6,4.75,-0.75,-0.75,Atromitos,-1,2.02,1.83,0.4711879418782367,-0.75
E0,8/11/2020,West Brom,Tottenham,0,1,Tottenham,Tottenham,1,0.44999999999999996,7.0,4.33,1.45,1.0,1.0,Draw,0,2.15,1.79,0.4261248576164689,-1.0
E0,8/11/2020,Leicester,Wolves,1,0,Leicester,Leicester,1,1.2999999999999998,2.3,3.2,3.25,-0.25,-0.25,Leicester,0.5249999999999999,2.05,1.88,0.448975107012554,-0.25
E0,8/11/2020,Man City,Liverpool,1,1,Draw,Man City,0,-1,1.95,4.2,3.4,-0.5,-0.5,Liverpool,-1,1.95,1.98,0.4218669905481992,-0.5
E0,8/11/2020,Arsenal,Aston Villa,0,3,Aston Villa,Arsenal,0,-1,1.65,4.1,5.0,-0.75,-0.75,Aston Villa,-1,1.85,2.08,0.41293414011774005,-0.75
SC0,8/11/2020,Motherwell,Celtic,1,4,Celtic,Celtic,1,0.3600000000000001,8.0,4.75,1.36,1.5,1.25,Celtic,1.0499999999999998,1.8,2.05,0.4028630934308124,-1.5
