Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
SC2,2/10/2021,Falkirk,East Fife,2,1,Falkirk,Falkirk,1,0.43999999999999995,1.44,4.2,5.75,-1.25,East Fife,-0.5,1.9,1.95,0.6733264232945294,-1.25
SC2,2/10/2021,Peterhead,Dumbarton,5,0,Peterhead,Dumbarton,0,-1,2.1,3.5,2.9,-0.25,Peterhead,-1,2.02,1.83,0.6760313664916527,0.25
SC3,2/10/2021,Elgin,Stirling,0,2,Stirling,Stirling,1,1.15,2.87,3.4,2.15,0.25,Stirling,0.8500000000000001,2.0,1.85,0.5927588080379712,-0.25
SC3,2/10/2021,Kelty Hearts,Annan Athletic,2,1,Kelty Hearts,Kelty Hearts,1,0.44999999999999996,1.45,4.2,5.25,-1.0,Draw,0,1.93,1.93,0.5539848200085258,-1.0
SC3,2/10/2021,Stenhousemuir,Forfar,1,1,Draw,Forfar,0,-1,3.2,3.75,1.9,0.5,Stenhousemuir,-1,2.0,1.85,0.5702174723774948,-0.5
SC3,2/10/2021,Stranraer,Albion Rvs,1,0,Stranraer,Stranraer,1,0.95,1.95,3.6,3.3,-0.75,Stranraer,0.49,1.98,1.88,0.4544676027118129,-0.75
D1,2/10/2021,Dortmund,Augsburg,2,1,Dortmund,Dortmund,1,0.21999999999999997,1.22,6.5,12.0,-2.0,Augsburg,-1,2.0,1.93,0.6078679439565434,-2.0
D1,2/10/2021,Hertha,Freiburg,1,2,Freiburg,Freiburg,1,1.4,2.9,3.4,2.4,0.25,Freiburg,0.55,1.83,2.1,0.7302266451716952,-0.25
D1,2/10/2021,Stuttgart,Hoffenheim,3,1,Stuttgart,Hoffenheim,0,-1,2.62,3.75,2.45,0.25,Stuttgart,-1,1.79,2.15,0.5581333518498908,-0.25
D1,2/10/2021,Wolfsburg,M'gladbach,1,3,M'gladbach,Wolfsburg,0,-1,2.1,3.6,3.4,-0.5,M'gladbach,-1,2.02,1.91,0.43035810662640783,-0.5
D1,2/10/2021,RB Leipzig,Bochum,3,0,RB Leipzig,RB Leipzig,1,0.19999999999999996,1.2,7.0,12.0,-2.0,RB Leipzig,0.6799999999999999,1.68,2.15,0.6355828992671448,-2.0
D2,2/10/2021,Fortuna Dusseldorf,Paderborn,2,3,Paderborn,Paderborn,1,2.1,2.25,3.5,3.1,-0.25,Paderborn,0.95,1.9,1.95,0.5325237348366247,0.25
D2,2/10/2021,Holstein Kiel,Hansa Rostock,0,2,Hansa Rostock,Holstein Kiel,0,-1,1.95,3.5,4.0,-0.5,Hansa Rostock,-1,1.9,1.95,0.4155518446518478,-0.5
D2,2/10/2021,Regensburg,Karlsruhe,2,2,Draw,Regensburg,0,-1,2.25,3.3,3.3,-0.25,Karlsruhe,-0.5,1.95,1.9,0.4587089637421179,-0.25
D2,2/10/2021,Nurnberg,Hannover,0,0,Draw,Nurnberg,0,-1,2.1,3.4,3.6,-0.25,Hannover,-0.5,2.1,1.77,0.48805686181271807,-0.25
SP1,2/10/2021,Osasuna,Vallecano,1,0,Osasuna,Vallecano,0,-1,2.15,3.4,3.4,-0.25,Osasuna,-0.5,1.95,1.98,0.5728355149135388,0.25
SP1,2/10/2021,Mallorca,Levante,1,0,Mallorca,Mallorca,1,1.1,2.1,3.2,3.4,-0.25,Mallorca,0.495,1.99,1.94,0.48275100310624275,-0.25
SP1,2/10/2021,Cadiz,Valencia,0,0,Draw,Valencia,0,-1,3.4,3.0,2.3,0.25,Cadiz,-0.5,1.9,2.03,0.541996599513194,-0.25
SP1,2/10/2021,Ath Madrid,Barcelona,2,0,Ath Madrid,Barcelona,0,-1,1.9,3.5,4.0,-0.5,Ath Madrid,-1,1.99,1.94,0.45365820619743136,0.5
SP2,2/10/2021,Amorebieta,Sp Gijon,1,1,Draw,Sp Gijon,0,-1,3.5,3.0,2.3,0.5,Amorebieta,-1,1.77,2.1,0.5340125483740024,-0.5
SP2,2/10/2021,Huesca,Tenerife,1,2,Tenerife,Huesca,0,-1,1.95,3.25,4.33,-0.25,Tenerife,-1,1.98,1.88,0.37028018444236693,-0.25
SP2,2/10/2021,Zaragoza,Oviedo,0,0,Draw,Oviedo,0,-1,2.25,2.9,3.8,-0.25,Oviedo,0.5249999999999999,1.8,2.05,0.4628565850381643,0.25
