Date,Home,Away,HG,AG,Res,prediction,Hit?,odds,AvgH,AvgD,AvgA,Better,Asian_res,Asian_hit
31/10/2020,Rubin Kazan,Arsenal Tula,3,1,Rubin Kazan,Rubin Kazan,1,0.6299999999999999,1.63,3.67,5.66,Rubin Kazan,Rubin Kazan,1
31/10/2020,Akhmat Grozny,Krasnodar,2,0,Akhmat Grozny,Krasnodar,0,-1,2.43,3.41,2.8,Akhmat Grozny,Akhmat Grozny,0
31/10/2020,Spartak Moscow,FK Rostov,0,1,FK Rostov,Spartak Moscow,0,-1,1.8,3.43,4.68,Spartak Moscow,Draw,0
31/10/2020,Sochi,Lokomotiv Moscow,2,1,Sochi,Lokomotiv Moscow,0,-1,2.43,3.07,3.06,Sochi,Sochi,0
1/11/2020,Ufa,Ural,1,2,Ural,Draw,0,-1,2.27,2.89,3.6,Ufa,Draw,-1
1/11/2020,Khimki,Zenit,0,2,Zenit,Zenit,1,0.6000000000000001,5.23,4.07,1.6,Zenit,Zenit,1
1/11/2020,R. Volgograd,CSKA Moscow,0,1,CSKA Moscow,CSKA Moscow,1,0.3700000000000001,8.38,4.74,1.37,CSKA Moscow,CSKA Moscow,1
1/11/2020,Tambov,Dynamo Moscow,1,2,Dynamo Moscow,Dynamo Moscow,1,0.77,5.1,3.31,1.77,Dynamo Moscow,Dynamo Moscow,1
6/11/2020,Sochi,Ufa,1,1,Draw,Sochi,0,-1,1.71,3.35,5.44,Sochi,Sochi,1
7/11/2020,Ural,Spartak Moscow,2,2,Draw,Spartak Moscow,0,-1,4.56,3.34,1.83,Spartak Moscow,Spartak Moscow,1
7/11/2020,Arsenal Tula,R. Volgograd,1,1,Draw,Arsenal Tula,0,-1,1.86,3.36,4.42,Arsenal Tula,Arsenal Tula,1
7/11/2020,Tambov,Akhmat Grozny,0,1,Akhmat Grozny,Akhmat Grozny,1,0.78,4.64,3.5,1.78,Akhmat Grozny,Akhmat Grozny,1
8/11/2020,Khimki,Rubin Kazan,2,0,Khimki,Rubin Kazan,0,-1,3.52,3.45,2.04,Rubin Kazan,Khimki,0
8/11/2020,CSKA Moscow,FK Rostov,2,0,CSKA Moscow,CSKA Moscow,1,0.5,1.5,4.17,6.43,CSKA Moscow,CSKA Moscow,1
8/11/2020,Dynamo Moscow,Lokomotiv Moscow,5,1,Dynamo Moscow,Dynamo Moscow,1,1.5899999999999999,2.59,3.17,2.75,Dynamo Moscow,Dynamo Moscow,1
8/11/2020,Zenit,Krasnodar,3,1,Zenit,Zenit,1,0.6299999999999999,1.63,4.13,4.88,Zenit,Zenit,1
21/11/2020,Krasnodar,Tambov,1,0,Krasnodar,Krasnodar,1,0.3999999999999999,1.4,4.48,7.84,Krasnodar,Krasnodar,1
21/11/2020,Akhmat Grozny,Zenit,2,2,Draw,Zenit,0,-1,4.02,3.46,1.9,Zenit,Zenit,1
21/11/2020,Lokomotiv Moscow,Arsenal Tula,1,0,Lokomotiv Moscow,Lokomotiv Moscow,1,0.72,1.72,3.67,4.75,Lokomotiv Moscow,Lokomotiv Moscow,1
21/11/2020,Spartak Moscow,Dynamo Moscow,1,1,Draw,Dynamo Moscow,0,-1,2.21,3.25,3.3,Spartak Moscow,Spartak Moscow,0
22/11/2020,CSKA Moscow,Sochi,1,1,Draw,CSKA Moscow,0,-1,1.61,3.99,5.18,CSKA Moscow,CSKA Moscow,1
22/11/2020,R. Volgograd,Ural,0,0,Draw,Ural,0,-1,2.83,2.99,2.64,Ural,Ural,1
22/11/2020,Rubin Kazan,FK Rostov,0,2,FK Rostov,FK Rostov,1,1.9,2.49,3.12,2.9,Rubin Kazan,FK Rostov,1
23/11/2020,Ufa,Khimki,1,2,Khimki,Khimki,1,1.85,2.7,2.91,2.85,Ufa,Draw,0
28/11/2020,Arsenal Tula,Zenit,0,0,Draw,Zenit,0,-1,6.54,4.33,1.47,Zenit,Zenit,1
28/11/2020,Khimki,Krasnodar,1,0,Khimki,Khimki,1,4.56,5.56,4.19,1.55,Krasnodar,Draw,0
28/11/2020,Akhmat Grozny,Lokomotiv Moscow,0,0,Draw,Akhmat Grozny,0,-1,1.9,3.39,4.11,Akhmat Grozny,Akhmat Grozny,1
28/11/2020,FK Rostov,Dynamo Moscow,4,1,FK Rostov,Dynamo Moscow,0,-1,3.49,3.08,2.2,Dynamo Moscow,FK Rostov,0
29/11/2020,Ural,Sochi,1,0,Ural,Sochi,0,-1,3.22,3.04,2.36,Sochi,Draw,0
29/11/2020,Ufa,Tambov,4,0,Ufa,Draw,0,-1,1.95,3.03,4.56,Ufa,Ufa,-1
29/11/2020,Rubin Kazan,CSKA Moscow,1,0,Rubin Kazan,CSKA Moscow,0,-1,3.76,3.52,1.94,CSKA Moscow,Draw,0
29/11/2020,Spartak Moscow,R. Volgograd,2,0,Spartak Moscow,Spartak Moscow,1,0.3600000000000001,1.36,4.79,8.4,Spartak Moscow,Spartak Moscow,1
5/12/2020,Lokomotiv Moscow,Rubin Kazan,3,1,Lokomotiv Moscow,Draw,0,-1,2.08,3.15,3.78,Lokomotiv Moscow,Lokomotiv Moscow,-1
5/12/2020,Spartak Moscow,Tambov,5,1,Spartak Moscow,Spartak Moscow,1,0.050000000000000044,1.05,13.65,34.22,Spartak Moscow,Spartak Moscow,1
5/12/2020,Krasnodar,R. Volgograd,5,0,Krasnodar,Krasnodar,1,0.29000000000000004,1.29,5.35,9.68,Krasnodar,Krasnodar,1
5/12/2020,Zenit,Ural,5,1,Zenit,Zenit,1,0.28,1.28,5.42,9.95,Zenit,Zenit,1
6/12/2020,FK Rostov,Ufa,0,1,Ufa,FK Rostov,0,-1,2.08,3.0,4.02,FK Rostov,Draw,0
6/12/2020,Dynamo Moscow,Arsenal Tula,1,0,Dynamo Moscow,Dynamo Moscow,1,0.6000000000000001,1.6,3.78,5.75,Dynamo Moscow,Dynamo Moscow,1
6/12/2020,CSKA Moscow,Khimki,2,2,Draw,CSKA Moscow,0,-1,1.43,4.48,6.97,CSKA Moscow,CSKA Moscow,1
7/12/2020,Sochi,Akhmat Grozny,2,0,Sochi,Akhmat Grozny,0,-1,2.7,3.02,2.75,Sochi,Sochi,0
11/12/2020,Khimki,Arsenal Tula,1,0,Khimki,Khimki,1,1.42,2.42,3.23,2.92,Khimki,Khimki,1
12/12/2020,R. Volgograd,Ufa,1,0,R. Volgograd,Ufa,0,-1,3.24,2.93,2.41,Ufa,Draw,0
12/12/2020,Sochi,Spartak Moscow,1,0,Sochi,Spartak Moscow,0,-1,2.92,3.14,2.47,Spartak Moscow,Draw,0
12/12/2020,Zenit,Dynamo Moscow,3,1,Zenit,Zenit,1,0.6299999999999999,1.63,3.87,5.21,Zenit,Zenit,1
13/12/2020,Tambov,Rubin Kazan,0,1,Rubin Kazan,Rubin Kazan,1,0.1399999999999999,17.36,7.64,1.14,Rubin Kazan,Rubin Kazan,1
13/12/2020,Krasnodar,Lokomotiv Moscow,5,0,Krasnodar,Lokomotiv Moscow,0,-1,1.7,3.79,4.67,Krasnodar,Krasnodar,0
13/12/2020,Akhmat Grozny,FK Rostov,0,1,FK Rostov,FK Rostov,1,2.84,2.03,3.19,3.84,Akhmat Grozny,Draw,0
13/12/2020,CSKA Moscow,Ural,2,2,Draw,CSKA Moscow,0,-1,1.34,4.89,8.77,CSKA Moscow,CSKA Moscow,1
16/12/2020,R. Volgograd,Arsenal Tula,1,0,R. Volgograd,Draw,0,-1,2.97,2.9,2.61,Arsenal Tula,Draw,-1
16/12/2020,Sochi,Dynamo Moscow,2,0,Sochi,Sochi,1,1.6400000000000001,2.64,3.08,2.77,Sochi,Sochi,1
16/12/2020,Zenit,Spartak Moscow,3,1,Zenit,Zenit,1,0.73,1.73,3.83,4.42,Zenit,Zenit,1
17/12/2020,Khimki,Lokomotiv Moscow,3,2,Khimki,Khimki,1,2.86,3.86,3.26,2.01,Lokomotiv Moscow,Draw,0
17/12/2020,Krasnodar,Ufa,1,0,Krasnodar,Krasnodar,1,0.42999999999999994,1.43,4.42,7.25,Krasnodar,Krasnodar,1
