Date,Home,Away,HG,AG,Res,prediction,Hit?,odds,AvgH,AvgD,AvgA,Better,Asian_res,Asian_hit
29/2/2020,CSKA Moscow,Ural,1,1,Draw,CSKA Moscow,0,-1,1.34,4.66,9.66,CSKA Moscow,CSKA Moscow,1
29/2/2020,Dynamo Moscow,Spartak Moscow,0,2,Spartak Moscow,Draw,0,-1,2.6,2.91,2.94,Dynamo Moscow,Spartak Moscow,-1
29/2/2020,Akhmat Grozny,FK Rostov,1,1,Draw,FK Rostov,0,-1,2.89,3.08,2.52,FK Rostov,FK Rostov,1
29/2/2020,Zenit,Lokomotiv Moscow,0,0,Draw,Zenit,0,-1,1.56,3.79,6.23,Zenit,Zenit,1
1/3/2020,Tambov,Rubin Kazan,0,0,Draw,Tambov,0,-1,3.37,2.95,2.32,Rubin Kazan,Rubin Kazan,0
1/3/2020,Krasnodar,Ufa,2,0,Krasnodar,Draw,0,-1,1.75,3.25,5.38,Krasnodar,Krasnodar,-1
1/3/2020,Sochi,Arsenal Tula,1,2,Arsenal Tula,Arsenal Tula,1,2.14,2.36,3.07,3.14,Sochi,Draw,0
7/3/2020,Orenburg,Arsenal Tula,2,0,Orenburg,Arsenal Tula,0,-1,2.25,3.16,3.25,Orenburg,Orenburg,0
7/3/2020,Dynamo Moscow,Tambov,1,0,Dynamo Moscow,Tambov,0,-1,1.64,3.68,5.46,Dynamo Moscow,Dynamo Moscow,0
8/3/2020,Rubin Kazan,Krylya Sovetov,0,1,Krylya Sovetov,Draw,0,-1,2.06,3.09,3.89,Rubin Kazan,Draw,-1
8/3/2020,Sochi,Ural,2,0,Sochi,Ural,0,-1,2.11,3.21,3.54,Sochi,Sochi,0
8/3/2020,Lokomotiv Moscow,Akhmat Grozny,1,0,Lokomotiv Moscow,Lokomotiv Moscow,1,0.6399999999999999,1.64,3.51,5.88,Lokomotiv Moscow,Lokomotiv Moscow,1
9/3/2020,FK Rostov,CSKA Moscow,3,2,FK Rostov,CSKA Moscow,0,-1,2.81,2.99,2.64,CSKA Moscow,Draw,0
9/3/2020,Spartak Moscow,Krasnodar,0,1,Krasnodar,Krasnodar,1,2.23,2.24,3.22,3.23,Spartak Moscow,Draw,0
9/3/2020,Zenit,Ufa,0,0,Draw,Zenit,0,-1,1.32,4.63,10.8,Zenit,Zenit,1
11/3/2020,Sochi,Orenburg,5,1,Sochi,Orenburg,0,-1,2.22,3.24,3.24,Sochi,Sochi,0
13/3/2020,Akhmat Grozny,Dynamo Moscow,2,3,Dynamo Moscow,Dynamo Moscow,1,1.4500000000000002,3.13,2.93,2.45,Dynamo Moscow,Dynamo Moscow,1
14/3/2020,Orenburg,Spartak Moscow,1,3,Spartak Moscow,Spartak Moscow,1,1.52,2.82,3.14,2.52,Spartak Moscow,Spartak Moscow,1
14/3/2020,Zenit,Ural,7,1,Zenit,Zenit,1,0.17999999999999994,1.18,6.75,14.93,Zenit,Zenit,1
14/3/2020,Arsenal Tula,Rubin Kazan,0,1,Rubin Kazan,Arsenal Tula,0,-1,2.23,3.01,3.48,Arsenal Tula,Draw,0
15/3/2020,Sochi,Krasnodar,2,0,Sochi,Krasnodar,0,-1,3.17,3.32,2.23,Krasnodar,Sochi,0
15/3/2020,CSKA Moscow,Ufa,0,0,Draw,Draw,1,2.67,1.57,3.67,6.38,CSKA Moscow,CSKA Moscow,-1
15/3/2020,FK Rostov,Lokomotiv Moscow,1,3,Lokomotiv Moscow,FK Rostov,0,-1,2.4,3.21,2.95,FK Rostov,Lokomotiv Moscow,0
16/3/2020,Tambov,Krylya Sovetov,3,0,Tambov,Tambov,1,1.67,2.67,2.92,2.87,Tambov,Tambov,1
19/6/2020,Krylya Sovetov,Akhmat Grozny,2,4,Akhmat Grozny,Akhmat Grozny,1,1.94,2.69,2.84,2.94,Krylya Sovetov,Akhmat Grozny,1
19/6/2020,Sochi,FK Rostov,10,1,Sochi,Sochi,1,0.07000000000000006,1.07,20.63,21.46,Sochi,Sochi,1
20/6/2020,Ural,Rubin Kazan,1,2,Rubin Kazan,Draw,0,-1,2.77,3.05,2.66,Rubin Kazan,Rubin Kazan,-1
20/6/2020,Arsenal Tula,Spartak Moscow,2,3,Spartak Moscow,Spartak Moscow,1,1.21,3.41,3.15,2.21,Spartak Moscow,Spartak Moscow,1
20/6/2020,CSKA Moscow,Zenit,0,4,Zenit,Zenit,1,1.13,3.6,3.17,2.13,Zenit,Zenit,1
21/6/2020,Ufa,Tambov,2,1,Ufa,Draw,0,-1,2.29,2.93,3.46,Ufa,Ufa,-1
21/6/2020,Lokomotiv Moscow,Orenburg,1,0,Lokomotiv Moscow,Lokomotiv Moscow,1,0.54,1.54,3.88,6.3,Lokomotiv Moscow,Lokomotiv Moscow,1
26/6/2020,Akhmat Grozny,Sochi,1,1,Draw,Sochi,0,-1,2.93,3.13,2.49,Sochi,Sochi,1
26/6/2020,Zenit,Krylya Sovetov,2,1,Zenit,Zenit,1,0.1100000000000001,1.11,8.92,20.57,Zenit,Zenit,1
27/6/2020,Orenburg,Krasnodar,0,3,Krasnodar,Krasnodar,1,0.5900000000000001,5.98,3.88,1.59,Krasnodar,Krasnodar,1
27/6/2020,Spartak Moscow,Ufa,0,0,Draw,Draw,1,2.17,1.96,3.17,4.05,Spartak Moscow,Spartak Moscow,-1
27/6/2020,Rubin Kazan,Lokomotiv Moscow,0,2,Lokomotiv Moscow,Lokomotiv Moscow,1,1.0899999999999999,3.83,3.07,2.09,Lokomotiv Moscow,Lokomotiv Moscow,1
27/6/2020,Dynamo Moscow,CSKA Moscow,0,0,Draw,Dynamo Moscow,0,-1,3.74,3.13,2.1,CSKA Moscow,CSKA Moscow,0
27/6/2020,FK Rostov,Arsenal Tula,2,1,FK Rostov,Arsenal Tula,0,-1,2.34,3.32,3.01,FK Rostov,FK Rostov,0
28/6/2020,Ural,Tambov,2,1,Ural,Tambov,0,-1,2.36,3.16,3.08,Ural,Ural,0
