Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,win%,AHCh_win
I1,26/1/2020,Verona,Lecce,3,0,Verona,Verona,1,0.6,1.6,4,5.5,-1,-0.75,Verona,0.98,1.98,1.95,0.597514402,-1
I1,26/1/2020,Roma,Lazio,1,1,Draw,Lazio,0,-1,2.8,3.6,2.4,0.25,0,Roma,-0.5,1.86,2.07,0.631143012,-0.25
I1,26/1/2020,Napoli,Juventus,2,1,Napoli,Juventus,0,-1,3.6,3.6,2.05,0.25,0.25,Napoli,-1,1.98,1.95,0.728155527,-0.25
I2,26/1/2020,Crotone,Spezia,1,2,Spezia,Crotone,0,-1,1.7,3.4,5.5,-0.75,-0.75,Spezia,-1,1.88,1.98,0.361758782,-0.75
I2,26/1/2020,Venezia,Trapani,1,1,Draw,Venezia,0,-1,2.1,3.1,3.75,-0.25,-0.25,Trapani,-0.5,1.77,2.1,0.386652817,-0.25
I2,26/1/2020,Ascoli,Frosinone,0,1,Frosinone,Frosinone,1,1.3,3.3,3.1,2.3,0,0.25,Frosinone,0.75,2.13,1.75,0.602302759,0
F1,26/1/2020,Lyon,Toulouse,3,0,Lyon,Lyon,1,0.28,1.28,5.75,10,-2,-1.5,Lyon,1.02,2.02,1.77,0.799953654,-2
F1,26/1/2020,Nantes,Bordeaux,0,1,Bordeaux,Nantes,0,-1,1.9,3.2,4.5,-0.5,-0.5,Bordeaux,-1,2.07,1.86,0.386328554,-0.5
F1,26/1/2020,Lille,Paris SG,0,2,Paris SG,Paris SG,1,0.44,6.5,4.75,1.44,1,1.25,Paris SG,0.86,2.07,1.86,0.787007368,-1
B1,26/1/2020,Cercle Brugge,Anderlecht,1,2,Anderlecht,Anderlecht,1,0.85,3.6,4,1.85,0.5,0.5,Anderlecht,1.02,1.83,2.02,0.609997371,-0.5
B1,26/1/2020,Kortrijk,Club Brugge,2,2,Draw,Club Brugge,0,-1,7,4.75,1.4,1.25,1.25,Kortrijk,-1,1.8,2.05,0.856482809,-1.25
B1,26/1/2020,Antwerp,Waregem,2,1,Antwerp,Antwerp,1,0.53,1.53,3.8,6.5,-1.25,-1,Waregem,-0.5,1.98,1.88,0.71999322,-1.25
N1,26/1/2020,Vitesse,FC Emmen,1,1,Draw,Vitesse,0,-1,1.4,4.75,8,-1.25,-1.25,FC Emmen,-1,2.05,1.85,0.568881817,-1.25
N1,26/1/2020,Groningen,Ajax,2,1,Groningen,Ajax,0,-1,7.5,5.25,1.36,1,1.25,Groningen,-1,1.95,1.95,0.752286224,-1
N1,26/1/2020,Willem II,Zwolle,0,0,Draw,Willem II,0,-1,1.61,4.2,4.75,-0.75,-1,Zwolle,-0.5,1.91,1.99,0.818022933,-0.75
N1,26/1/2020,PSV Eindhoven,Twente,1,1,Draw,PSV Eindhoven,0,-1,1.28,5.75,8.5,-1.5,-1.75,Twente,-1,1.9,2,0.818168794,-1.5
P1,26/1/2020,Belenenses,Portimonense,2,1,Belenenses,Draw,0,-1,2.5,3.2,2.87,0,0,Belenenses,0,2.02,1.88,0.347151478,0
P1,26/1/2020,Famalicao,Santa Clara,0,1,Santa Clara,Famalicao,0,-1,1.65,3.75,5.5,-0.75,-0.75,Santa Clara,-1,1.93,1.97,0.629944561,-0.75
P1,26/1/2020,Tondela,Setubal,0,3,Setubal,Draw,0,-1,2.05,3.2,3.8,-0.5,-0.25,Setubal,0,2.02,1.88,0.281031645,0.5
P1,26/1/2020,Pacos Ferreira,Benfica,0,2,Benfica,Benfica,1,0.33,10,4.75,1.33,1.5,1.5,Benfica,1.03,1.87,2.03,0.696620125,-1.5
P1,26/1/2020,Aves,Boavista,0,1,Boavista,Aves,0,-1,2.45,3.2,2.9,-0.25,0,Boavista,-1,2.07,1.83,0.490737901,-0.25
T1,26/1/2020,Denizlispor,Antalyaspor,0,3,Antalyaspor,Denizlispor,0,-1,2.2,3.4,3.25,-0.25,-0.25,Antalyaspor,-1,2.05,1.8,0.68722722,-0.25
T1,26/1/2020,Goztep,Besiktas,2,1,Goztep,Goztep,1,1.87,2.87,3.3,2.4,-0.25,0,Goztep,0.5,2,1.85,0.414235724,-0.25
T1,26/1/2020,Konyaspor,Galatasaray,0,3,Galatasaray,Galatasaray,1,1,3.5,3.6,2,0.25,0.25,Galatasaray,0.88,1.98,1.88,0.564066932,-0.25
G1,26/1/2020,Panionios,Atromitos,1,0,Panionios,Atromitos,0,-1,2.9,3.3,2.4,0,0.25,Panionios,-1,1.9,1.95,0.641710507,0
G1,26/1/2020,Xanthi,OFI Crete,2,2,Draw,Draw,1,2.2,2.62,3.2,2.5,0,0,Draw,0,2.15,1.73,0.340879989,0
G1,26/1/2020,Panetolikos,Aris,2,0,Panetolikos,Aris,0,-1,3.75,3.1,2.1,0.25,0.25,Panetolikos,-1,2.05,1.8,0.656860659,-0.25
G1,26/1/2020,AEK,Olympiakos,0,0,Draw,Olympiakos,0,-1,3.25,3.2,2.2,0.25,0.25,AEK,-0.5,1.8,2.05,0.522489983,-0.25
I2,27/1/2020,Perugia,Livorno,1,0,Perugia,Perugia,1,0.8,1.8,3.5,4.5,-0.5,-0.5,Perugia,0.83,1.83,2.02,0.472641747,-0.5
F2,27/1/2020,Le Havre,Troyes,1,0,Le Havre,Troyes,0,-1,2.3,3.1,3.3,-0.5,-0.25,Le Havre,-1,2.05,1.8,0.363335319,0.5
P1,27/1/2020,Guimaraes,Rio Ave,1,2,Rio Ave,Draw,0,-1,1.61,3.75,5.75,-0.75,-0.75,Rio Ave,0,1.88,2.02,0.25681487,0.75
P1,27/1/2020,Sp Lisbon,Maritimo,1,0,Sp Lisbon,Sp Lisbon,1,0.36,1.36,4.75,8.5,-1.5,-1.25,Maritimo,-1,2.02,1.88,0.509603459,-1.5
T1,27/1/2020,Sivasspor,Rizespor,1,1,Draw,Sivasspor,0,-1,1.45,4.75,6,-0.75,-1,Rizespor,-0.5,1.85,2,0.639708721,-0.75
G1,27/1/2020,PAOK,Volos NFC,1,0,PAOK,PAOK,1,0.1,1.1,8.5,15,-2.75,-2.5,Volos NFC,-1,1.95,1.9,0.809936799,-2.75
G1,27/1/2020,Lamia,Asteras Tripolis,1,1,Draw,Asteras Tripolis,0,-1,2.25,3,3.2,0,-0.25,Draw,0,1.72,2.07,0.394731924,0
E1,28/1/2020,Blackburn,QPR,2,1,Blackburn,Blackburn,1,1.05,2.05,3.5,3.5,-0.5,-0.5,Blackburn,1.01,2.01,1.89,0.466590605,-0.5
E1,28/1/2020,Brentford,Nott'm Forest,0,1,Nott'm Forest,Brentford,0,-1,1.61,3.8,5.75,-0.75,-0.75,Nott'm Forest,-1,1.85,2.05,0.490221859,-0.75
E1,28/1/2020,Cardiff,West Brom,2,1,Cardiff,West Brom,0,-1,3,3.3,2.37,0.25,0.25,Cardiff,-1,1.75,2.05,0.414781266,-0.25
E1,28/1/2020,Hull,Huddersfield,1,2,Huddersfield,Hull,0,-1,2,3.5,3.75,-0.25,-0.5,Huddersfield,-1,1.92,1.98,0.353151907,-0.25
E1,28/1/2020,Leeds,Millwall,3,2,Leeds,Millwall,0,-1,1.53,4,7,-1,-1,Draw,0,2.01,1.89,0.51564255,1
E1,28/1/2020,Luton,Derby,3,2,Luton,Derby,0,-1,3.1,3.4,2.3,0.25,0.25,Luton,-1,1.91,1.99,0.712306889,-0.25
E1,28/1/2020,Wigan,Sheffield Weds,2,1,Wigan,Sheffield Weds,0,-1,2.8,3.2,2.6,0,0,Wigan,-1,1.99,1.91,0.549483724,0
E1,28/1/2020,Reading,Bristol City,0,1,Bristol City,Reading,0,-1,2.15,3.4,3.4,-0.25,-0.25,Bristol City,-1,1.98,1.92,0.396026182,-0.25
E2,28/1/2020,Accrington,Peterboro,0,2,Peterboro,Peterboro,1,1.65,2.7,3.6,2.65,0,0,Peterboro,0.9,1.95,1.9,0.491547678,0
E2,28/1/2020,AFC Wimbledon,Burton,2,2,Draw,Burton,0,-1,3.8,3.8,2,0.5,0.5,AFC Wimbledon,-1,1.93,1.93,0.412685265,-0.5
E2,28/1/2020,Doncaster,Southend,3,1,Doncaster,Doncaster,1,0.45,1.45,4.5,8.5,-1,-1.25,Doncaster,0.83,1.83,2.02,0.791893436,-1
E2,28/1/2020,Fleetwood Town,Coventry,0,0,Draw,Coventry,0,-1,2.6,3.4,2.87,0,0,Draw,0,1.9,1.95,0.666198684,0
E2,28/1/2020,Lincoln,Portsmouth,0,2,Portsmouth,Portsmouth,1,1.87,2.7,3.3,2.87,0,0,Portsmouth,0.88,1.98,1.88,0.440419728,0
E2,28/1/2020,Milton Keynes Dons,Rochdale,2,1,Milton Keynes Dons,Milton Keynes Dons,1,0.9,1.9,3.6,4.5,-0.5,-0.5,Milton Keynes Dons,0.77,1.77,2.02,0.416205221,-0.5
E2,28/1/2020,Rotherham,Ipswich,1,0,Rotherham,Rotherham,1,1.1,2.1,3.25,4.1,-0.25,-0.25,Rotherham,0.465,1.93,1.93,0.410427891,-0.25
E2,28/1/2020,Wycombe,Blackpool,2,1,Wycombe,Blackpool,0,-1,2.45,3.3,3.2,0,-0.25,Wycombe,-1,1.75,2.13,0.434133367,0
E2,28/1/2020,Bolton,Bristol Rvs,1,1,Draw,Draw,1,2.5,2.6,3.5,2.8,0,0,Draw,0,1.8,2.05,0.315674752,0
E3,28/1/2020,Bradford,Cheltenham,1,1,Draw,Cheltenham,0,-1,2.5,3.1,3.3,0,-0.25,Draw,0,1.77,2.1,0.509424892,0
E3,28/1/2020,Cambridge,Salford,0,4,Salford,Salford,1,1.62,2.9,3.3,2.62,0,0,Salford,0.8,2.05,1.8,0.617099397,0
E3,28/1/2020,Colchester,Swindon,3,1,Colchester,Swindon,0,-1,2.4,3.3,3.25,-0.25,-0.25,Colchester,-1,2.1,1.77,0.43297821,0.25
E3,28/1/2020,Crewe,Leyton Orient,2,0,Crewe,Crewe,1,0.61,1.61,4.33,5.75,-0.75,-0.75,Crewe,0.8,1.8,2.05,0.546916725,-0.75
E3,28/1/2020,Forest Green,Carlisle,1,4,Carlisle,Forest Green,0,-1,1.65,4,6,-0.75,-0.75,Carlisle,-1,1.83,2.02,0.461648815,-0.75
E3,28/1/2020,Grimsby,Stevenage,3,1,Grimsby,Draw,0,-1,2.1,3.2,4.2,-0.5,-0.25,Grimsby,0,2.02,1.83,0.301227913,0.5
E3,28/1/2020,Newport County,Macclesfield,1,0,Newport County,Newport County,1,0.75,1.75,3.6,5.75,-0.75,-0.75,Newport County,0.525,2.05,1.8,0.373006441,-0.75
E3,28/1/2020,Northampton,Scunthorpe,3,0,Northampton,Northampton,1,1.2,2.2,3.6,3.4,-0.25,-0.25,Northampton,1.07,2.07,1.72,0.470218015,-0.25
E3,28/1/2020,Oldham,Mansfield,3,1,Oldham,Mansfield,0,-1,3,3.5,2.45,0.25,0.25,Oldham,-1,1.88,1.98,0.58294449,-0.25
