Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,PredictH,PredictD,PredictA
I1,26/9/2019,Torino,Milan,2,1,Torino,Milan,0,-1,2.3,3.25,3.1,0,Torino,-1,1.88,2.05,0.271815442,0.322987442,0.405197117
N1,26/9/2019,Feyenoord,AZ Alkmaar,0,3,AZ Alkmaar,AZ Alkmaar,1,2.2,2.15,3.5,3.2,-0.25,AZ Alkmaar,1,1.9,2,0.208168569,0.261287496,0.530543934
E1,27/9/2019,Fulham,Wigan,2,0,Fulham,Fulham,1,0.44,1.44,4.5,7,-1,Fulham,0.8,1.8,2.1,0.526781246,0.27163905,0.201579704
E1,27/9/2019,Stoke,Nott'm Forest,2,3,Nott'm Forest,Nott'm Forest,1,2.2,2.4,3.1,3.2,-0.25,Nott'm Forest,0.98,1.92,1.98,0.082931685,0.205736751,0.711331563
E2,27/9/2019,Blackpool,Lincoln,2,1,Blackpool,Blackpool,1,1.3,2.3,3.5,3.25,-0.25,Blackpool,0.5,2,1.85,0.426754536,0.301338372,0.271907092
SC1,27/9/2019,Queen of Sth,Dundee,1,1,Draw,Draw,1,2.3,2.9,3.3,2.37,0.25,Queen of Sth,0,1.75,2.05,0.233806444,0.412125309,0.354068247
D1,27/9/2019,Union Berlin,Ein Frankfurt,1,2,Ein Frankfurt,Ein Frankfurt,1,1.3,3,3.5,2.3,0.25,Ein Frankfurt,0.565,1.81,2.13,0.219550372,0.261153104,0.519296525
D2,27/9/2019,Bielefeld,Stuttgart,0,1,Stuttgart,Stuttgart,1,1.4,2.8,3.5,2.4,0,Stuttgart,0.88,1.98,1.88,0.36924856,0.236178891,0.394572549
D2,27/9/2019,Wehen,Osnabruck,2,0,Wehen,Osnabruck,0,-1,3,3.6,2.2,0.25,Wehen,-1,1.85,2,0.119127524,0.188864178,0.692008297
SP1,27/9/2019,Villarreal,Betis,5,1,Villarreal,Villarreal,1,0.83,1.83,3.8,4.1,-0.75,Villarreal,1.03,2.03,1.9,0.40957422,0.240941235,0.349484545
SP2,27/9/2019,Las Palmas,Albacete,3,2,Las Palmas,Draw,0,-1,1.95,3.2,4.2,-0.75,Las Palmas,-0.5,2,1.8,0.24716772,0.402588442,0.350243838
I2,27/9/2019,Pescara,Crotone,0,3,Crotone,Crotone,1,1.6,2.7,3.2,2.6,0.25,Crotone,1.02,1.83,2.02,0.279039647,0.280489141,0.440471212
F2,27/9/2019,Ajaccio,Valenciennes,2,0,Ajaccio,Valenciennes,0,-1,2.05,3,4,-0.25,Ajaccio,-1,1.72,2.07,0.225790064,0.340466262,0.433743674
F2,27/9/2019,Chambly,Lorient,0,1,Lorient,Lorient,1,1.25,3.5,3,2.25,0.25,Lorient,0.465,1.93,1.93,0.14712087,0.300969176,0.551909954
F2,27/9/2019,Clermont,Nancy,2,2,Draw,Nancy,0,-1,2.05,3.2,3.75,-0.25,Nancy,0,1.95,1.9,0.340584444,0.305346483,0.354069073
F2,27/9/2019,Grenoble,Caen,1,0,Grenoble,Grenoble,1,0.95,1.95,3.2,3.75,-0.5,Grenoble,1.05,2.05,1.8,0.488860863,0.285591956,0.225547181
F2,27/9/2019,Le Havre,Chateauroux,0,1,Chateauroux,Le Havre,0,-1,1.53,3.8,6.5,-0.75,Chateauroux,-1,1.83,2.02,0.660374536,0.246850979,0.092774484
F2,27/9/2019,Niort,Auxerre,2,2,Draw,Auxerre,0,-1,3.75,3.1,2.1,0.5,Niort,0,1.85,2,0.306279086,0.287284479,0.406436435
F2,27/9/2019,Rodez,Sochaux,0,2,Sochaux,Sochaux,1,2.1,2.37,3.1,3.1,-0.25,Sochaux,0.83,2.02,1.83,0.318583716,0.30602995,0.375386333
F2,27/9/2019,Troyes,Orleans,1,2,Orleans,Troyes,0,-1,1.7,3.3,6,-0.75,Orleans,-1,2.05,1.8,0.551198598,0.283209329,0.165592074
N1,27/9/2019,FC Emmen,Den Haag,3,0,FC Emmen,Den Haag,0,-1,2,3.75,3.4,-0.25,FC Emmen,-1,1.86,2.04,0.225843933,0.226510926,0.54764514
P1,27/9/2019,Boavista,Tondela,0,0,Draw,Boavista,0,-1,2.05,3.25,3.75,-0.25,Tondela,0,1.81,2.09,0.384858275,0.304547497,0.310594229
T1,27/9/2019,Buyuksehyr,Rizespor,5,0,Buyuksehyr,Rizespor,0,-1,1.6,3.75,6,-0.75,Buyuksehyr,-1,1.75,2.05,0.295477332,0.316906492,0.387616176
E0,28/9/2019,Sheffield United,Liverpool,0,1,Liverpool,Liverpool,1,0.33,9,5.25,1.33,1.5,Sheffield United,-1,1.75,2.05,0.178167118,0.233320395,0.588512487
E0,28/9/2019,Aston Villa,Burnley,2,2,Draw,Burnley,0,-1,2.3,3.4,3.1,-0.25,Burnley,0,2.04,1.89,0.279852608,0.29469277,0.425454622
E0,28/9/2019,Bournemouth,West Ham,2,2,Draw,West Ham,0,-1,2.5,3.5,2.75,-0.25,West Ham,0,2.1,1.83,0.264355652,0.268274685,0.467369663
E0,28/9/2019,Chelsea,Brighton,2,0,Chelsea,Chelsea,1,0.4,1.4,4.75,8,-1.25,Chelsea,0.515,2.03,1.9,0.524067783,0.256149518,0.219782698
E0,28/9/2019,Crystal Palace,Norwich,2,0,Crystal Palace,Crystal Palace,1,0.9,1.9,3.75,3.75,-0.5,Crystal Palace,0.9,1.9,2.03,0.382600464,0.300101268,0.317298268
E0,28/9/2019,Tottenham,Southampton,2,1,Tottenham,Tottenham,1,0.4,1.4,4.75,8,-1.25,Southampton,-0.5,1.8,2.14,0.460860682,0.260789914,0.278349404
E0,28/9/2019,Wolves,Watford,2,0,Wolves,Wolves,1,0.85,1.85,3.4,4.5,-0.5,Wolves,0.95,1.95,1.98,0.570734883,0.222847351,0.206417767
E0,28/9/2019,Everton,Man City,1,3,Man City,Man City,1,0.3,10,5.5,1.3,1.5,Man City,1.07,1.72,2.07,0.064321372,0.130380474,0.805298154
E1,28/9/2019,QPR,West Brom,0,2,West Brom,West Brom,1,1.7,2.6,3.4,2.7,0,West Brom,0.95,1.95,1.95,0.336941513,0.214740207,0.44831828
E1,28/9/2019,Blackburn,Luton,1,2,Luton,Blackburn,0,-1,1.8,3.75,4.33,-1,Luton,-1,2.06,1.84,0.598637544,0.228018579,0.173343877
E1,28/9/2019,Charlton,Leeds,1,0,Charlton,Leeds,0,-1,6.5,4.75,1.45,1,Charlton,-1,2,1.9,0.178563597,0.31770824,0.503728163
