Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,PredictH,PredictD,PredictA
E3,22/10/2019,Newport County,Crawley Town,1,1,Draw,Newport County,0,-1,2,3.6,4,-0.5,Crawley Town,0,2.05,1.8,0.576516856,0.24453259,0.178950554
E3,22/10/2019,Oldham,Walsall,2,0,Oldham,Oldham,1,1.55,2.55,3.5,2.9,-0.25,Oldham,1.1,2.1,1.77,0.374939767,0.30658504,0.318475193
E3,22/10/2019,Plymouth,Leyton Orient,4,0,Plymouth,Leyton Orient,0,-1,1.83,3.9,4.5,-0.5,Plymouth,-1,1.8,2,0.311794077,0.242695861,0.445510061
E3,22/10/2019,Scunthorpe,Exeter,3,1,Scunthorpe,Exeter,0,-1,2.9,3.3,2.62,-0.25,Scunthorpe,-1,1.9,1.95,0.3606295,0.255364686,0.384005814
E3,22/10/2019,Swindon,Stevenage,1,0,Swindon,Swindon,1,0.72,1.72,3.8,5.5,-0.75,Swindon,0.525,2.05,1.8,0.414992827,0.268519383,0.31648779
E1,23/10/2019,Bristol City,Charlton,2,1,Bristol City,Charlton,0,-1,1.95,3.4,4,-0.5,Bristol City,-1,1.93,1.97,0.195031017,0.254011777,0.550957206
E1,23/10/2019,Derby,Wigan,1,0,Derby,Wigan,0,-1,2,3.3,4,-0.5,Derby,-1,2.04,1.86,0.301071749,0.313360963,0.385567288
E1,23/10/2019,Fulham,Luton,3,2,Fulham,Fulham,1,0.45,1.45,4.5,7,-1.25,Luton,-0.5,2.08,1.82,0.456334668,0.256272676,0.287392656
E1,23/10/2019,Huddersfield,Middlesbrough,0,0,Draw,Huddersfield,0,-1,2.3,3.2,3.3,-0.25,Middlesbrough,0,2.03,1.87,0.426713063,0.295019852,0.278267085
E1,23/10/2019,Nott'm Forest,Hull,1,2,Hull,Nott'm Forest,0,-1,2,3.5,3.8,-0.25,Hull,-1,1.9,2,0.53872871,0.263508261,0.19776303
E2,23/10/2019,Coventry,Fleetwood Town,2,1,Coventry,Fleetwood Town,0,-1,2.45,3.4,3.1,-0.25,Coventry,-0.5,2.05,1.8,0.128376801,0.215562988,0.656060212
E2,23/10/2019,Ipswich,Rotherham,0,2,Rotherham,Ipswich,0,-1,2.15,3.6,3.5,-0.25,Rotherham,-1,2,1.85,0.404494721,0.350462562,0.245042716
E2,23/10/2019,Peterboro,Accrington,4,0,Peterboro,Peterboro,1,0.66,1.66,4.1,5.5,-1,Peterboro,1.02,2.02,1.83,0.538290675,0.222028106,0.239681219
E0,25/10/2019,Southampton,Leicester,0,9,Leicester,Leicester,1,1.3,3.1,3.4,2.3,0.25,Leicester,1.1,1.83,2.1,0.152627721,0.219068066,0.628304213
SC1,25/10/2019,Ayr,Dundee,1,2,Dundee,Ayr,0,-1,2.2,3.4,3.2,-0.25,Dundee,-1,2.05,1.8,0.578047992,0.223312513,0.198639494
D1,25/10/2019,Mainz,FC Koln,3,1,Mainz,FC Koln,0,-1,2.5,3.6,2.62,0,Mainz,-1,1.97,1.96,0.260712005,0.298025709,0.441262287
D2,25/10/2019,Darmstadt,Erzgebirge Aue,1,0,Darmstadt,Erzgebirge Aue,0,-1,2.2,3.4,3.2,-0.25,Darmstadt,-0.5,1.95,1.9,0.328025934,0.269598477,0.402375589
D2,25/10/2019,Holstein Kiel,Bochum,2,1,Holstein Kiel,Holstein Kiel,1,0.9,1.9,3.8,3.6,-0.5,Holstein Kiel,0.95,1.95,1.9,0.402941741,0.222649573,0.374408686
SP1,25/10/2019,Villarreal,Alaves,4,1,Villarreal,Villarreal,1,0.5,1.5,4.2,6.5,-1,Villarreal,1.05,2.05,1.88,0.456520882,0.266716309,0.276762809
SP2,25/10/2019,Albacete,Cadiz,1,0,Albacete,Cadiz,0,-1,3.25,3,2.37,0,Albacete,-1,2.05,1.8,0.130364042,0.321184976,0.548450982
I1,25/10/2019,Verona,Sassuolo,0,1,Sassuolo,Sassuolo,1,2,2.4,3.4,3,-0.25,Sassuolo,0.95,1.98,1.95,0.354488451,0.267507771,0.378003779
I2,25/10/2019,Ascoli,Virtus Entella,2,1,Ascoli,Virtus Entella,0,-1,2,3.3,3.8,-0.5,Ascoli,-1,2,1.85,0.319288873,0.324931959,0.355779168
F1,25/10/2019,Nantes,Monaco,0,1,Monaco,Nantes,0,-1,3,3.3,2.4,0.25,Monaco,-0.5,1.72,2.07,0.441084835,0.279831313,0.279083852
F2,25/10/2019,Auxerre,Grenoble,0,1,Grenoble,Auxerre,0,-1,2.05,3.1,4,-0.25,Grenoble,-1,1.83,2.02,0.427032964,0.331202812,0.241764224
F2,25/10/2019,Guingamp,Clermont,1,2,Clermont,Guingamp,0,-1,2.2,3.1,3.5,-0.25,Clermont,-1,1.9,1.95,0.569345107,0.264383926,0.166270967
F2,25/10/2019,Le Mans,Niort,1,0,Le Mans,Niort,0,-1,2.15,3.2,3.5,-0.25,Le Mans,-0.5,1.88,1.98,0.187378583,0.260392944,0.552228473
F2,25/10/2019,Nancy,Lens,0,0,Draw,Lens,0,-1,3,2.87,2.6,0,Draw,0,1.95,1.9,0.320486612,0.301165442,0.378347946
F2,25/10/2019,Orleans,Chateauroux,1,1,Draw,Draw,1,2,2.05,3,4.2,-0.25,Chateauroux,0,1.93,1.93,0.362772689,0.42816448,0.20906283
F2,25/10/2019,Paris FC,Caen,2,4,Caen,Draw,0,-1,2.3,2.9,3.5,-0.25,Caen,-1,1.98,1.88,0.369488361,0.402515232,0.227996407
F2,25/10/2019,Rodez,Chambly,2,0,Rodez,Rodez,1,1.1,2.1,2.9,4,-0.25,Rodez,0.8,1.8,2.05,0.39621072,0.395582361,0.208206919
F2,25/10/2019,Sochaux,Ajaccio,0,2,Ajaccio,Draw,0,-1,2.2,2.9,3.75,-0.25,Ajaccio,-1,1.9,1.95,0.357886583,0.449447134,0.192666282
B1,25/10/2019,Eupen,Anderlecht,0,0,Draw,Anderlecht,0,-1,4.2,3.3,1.9,0.25,Eupen,0,1.88,1.98,0.150587512,0.238067907,0.611344581
N1,25/10/2019,Twente,FC Emmen,4,1,Twente,FC Emmen,0,-1,1.75,4.2,4,-0.5,Twente,-1,1.97,1.93,0.327243907,0.241938441,0.430817652
P1,25/10/2019,Pacos Ferreira,Rio Ave,0,0,Draw,Rio Ave,0,-1,2.8,3.1,2.6,0,Draw,0,2.04,1.86,0.168764793,0.255450972,0.575784235
T1,25/10/2019,Rizespor,Ankaragucu,2,0,Rizespor,Ankaragucu,0,-1,1.57,4,5.5,-1,Rizespor,-1,1.93,1.93,0.308836191,0.301259028,0.389904781
E0,26/10/2019,Man City,Aston Villa,3,0,Man City,Man City,1,0.08,1.08,11,26,-3.25,Aston Villa,-0.5,2.07,1.72,0.582061111,0.200423563,0.217515326
E0,26/10/2019,Brighton,Everton,3,2,Brighton,Draw,0,-1,2.9,3.25,2.5,0,Brighton,-1,1.95,1.98,0.335513256,0.354908694,0.30957805
E0,26/10/2019,Watford,Bournemouth,0,0,Draw,Bournemouth,0,-1,2.15,3.6,3.25,-0.25,Bournemouth,0,2.04,1.89,0.170697092,0.289718451,0.539584457
E0,26/10/2019,West Ham,Sheffield United,1,1,Draw,Draw,1,2.5,2.1,3.5,3.5,-0.25,Sheffield United,0,1.99,1.94,0.238827695,0.389301266,0.371871039
E0,26/10/2019,Burnley,Chelsea,2,4,Chelsea,Chelsea,1,0.72,4.5,4,1.72,1,Chelsea,1.15,1.67,2.15,0.27294511,0.241148677,0.485906213
E1,26/10/2019,Sheffield Weds,Leeds,0,0,Draw,Draw,1,2.4,3.6,3.4,2.1,0.25,Sheffield Weds,0,1.97,1.93,0.296484473,0.415045976,0.288469551
E1,26/10/2019,Birmingham,Luton,2,1,Birmingham,Birmingham,1,1,2,3.5,3.75,-0.5,Birmingham,0.92,1.92,1.98,0.368108162,0.301462987,0.330428851
E1,26/10/2019,Huddersfield,Barnsley,2,1,Huddersfield,Huddersfield,1,0.9,1.9,3.6,4,-0.25,Huddersfield,0.48,1.96,1.94,0.470280362,0.261730594,0.267989044
E1,26/10/2019,Hull,Derby,2,0,Hull,Hull,1,1.15,2.15,3.5,3.4,-0.25,Hull,0.9,1.9,2,0.386360585,0.248168691,0.365470724
E1,26/10/2019,Middlesbrough,Fulham,0,0,Draw,Fulham,0,-1,3.5,3.25,2.2,0.5,Middlesbrough,0,1.9,2,0.208074684,0.291003949,0.500921367
E1,26/10/2019,Millwall,Stoke,2,0,Millwall,Stoke,0,-1,2.75,3,2.8,0,Millwall,-1,2.04,1.86,0.365763385,0.265417925,0.36881869
E1,26/10/2019,Preston,Blackburn,3,2,Preston,Preston,1,0.85,1.85,3.75,4,-0.25,Preston,0.445,1.89,2.01,0.600237651,0.213700673,0.186061676
E1,26/10/2019,West Brom,Charlton,2,2,Draw,West Brom,0,-1,1.44,4.33,8,-1.25,Charlton,0,1.91,1.99,0.388087077,0.256296613,0.35561631
E2,26/10/2019,Accrington,Gillingham,0,1,Gillingham,Gillingham,1,2.4,2.15,3.8,3.4,-0.25,Gillingham,0.98,1.88,1.98,0.288738103,0.285758173,0.425503724
E2,26/10/2019,Bristol Rvs,Portsmouth,2,2,Draw,Portsmouth,0,-1,3.2,3.4,2.37,0.25,Bristol Rvs,0,2,1.85,0.233587247,0.382807233,0.38360552
E2,26/10/2019,Burton,Blackpool,0,0,Draw,Burton,0,-1,2,3.6,4,-0.25,Blackpool,0,1.77,2.1,0.435806933,0.316013312,0.248179755
E2,26/10/2019,Fleetwood Town,Milton Keynes Dons,1,0,Fleetwood Town,Fleetwood Town,1,0.61,1.61,4.33,5.75,-1,Draw,0,1.95,1.9,0.72077265,0.200776927,0.078450423
E2,26/10/2019,Oxford,Rochdale,3,0,Oxford,Oxford,1,0.53,1.53,4.5,6.5,-1,Oxford,0.8,1.8,2.05,0.689955217,0.171625394,0.138419389
E2,26/10/2019,Peterboro,Coventry,2,2,Draw,Peterboro,0,-1,1.95,3.8,4,-0.5,Coventry,0,1.98,1.88,0.668926174,0.202307841,0.128765985
E2,26/10/2019,Rotherham,Wycombe,0,1,Wycombe,Rotherham,0,-1,2,3.6,4,-0.5,Wycombe,-1,1.98,1.88,0.418689131,0.316585481,0.264725388
E2,26/10/2019,Shrewsbury,Sunderland,1,0,Shrewsbury,Sunderland,0,-1,3.4,3.4,2.3,0.25,Shrewsbury,-1,1.88,1.98,0.227780865,0.353018829,0.419200306
E2,26/10/2019,Southend,Ipswich,1,3,Ipswich,Ipswich,1,0.53,6.5,4.5,1.53,0.75,Ipswich,0.8,2.05,1.8,0.084430506,0.16829094,0.747278554
E3,26/10/2019,Exeter,Plymouth,4,0,Exeter,Plymouth,0,-1,2.3,3.4,3.4,-0.25,Exeter,-1,2.05,1.8,0.145191829,0.229503029,0.625305142
E3,26/10/2019,Colchester,Newport County,3,1,Colchester,Draw,0,-1,2.37,3.4,3.25,-0.25,Colchester,-1,2.02,1.83,0.165536501,0.459307075,0.375156424
E3,26/10/2019,Crawley Town,Swindon,0,4,Swindon,Crawley Town,0,-1,2.7,3.6,2.62,0.25,Swindon,-1,1.77,2.1,0.4425397,0.232967466,0.324492834
E3,26/10/2019,Leyton Orient,Carlisle,1,1,Draw,Leyton Orient,0,-1,2.05,3.75,3.75,-0.25,Carlisle,0,1.8,2.05,0.64506257,0.192984877,0.161952553
E3,26/10/2019,Northampton,Cambridge,2,0,Northampton,Draw,0,-1,2.3,3.4,3.4,-0.25,Northampton,-1,2.1,1.77,0.295323308,0.381288384,0.323388309
E3,26/10/2019,Port Vale,Oldham,0,0,Draw,Port Vale,0,-1,2,3.75,3.8,-0.5,Oldham,0,2,1.85,0.474313479,0.252255051,0.27343147
E3,26/10/2019,Salford,Scunthorpe,1,1,Draw,Scunthorpe,0,-1,2.6,3.5,2.8,0,Draw,0,2,1.85,0.259575506,0.233981522,0.506442972
E3,26/10/2019,Stevenage,Morecambe,1,0,Stevenage,Stevenage,1,1,2,3.6,4,-0.5,Stevenage,1.02,2.02,1.83,0.411149925,0.299364759,0.289485316
E3,26/10/2019,Walsall,Mansfield,1,2,Mansfield,Mansfield,1,1.5,2.9,3.6,2.5,0.25,Mansfield,0.44,1.98,1.88,0.155500804,0.245178147,0.599321049
EC,26/10/2019,Boreham Wood,Fylde,0,2,Fylde,Boreham Wood,0,-1,2.1,3.4,3.4,-0.25,Fylde,-1,2.02,1.77,0.75949792,0.147543645,0.092958435
EC,26/10/2019,Bromley,Halifax,5,0,Bromley,Bromley,1,1.1,2.1,3.5,3.3,-0.25,Bromley,1.05,2.05,1.75,0.420089348,0.289105775,0.290804877
EC,26/10/2019,Chorley,Yeovil,1,2,Yeovil,Yeovil,1,1.15,3.25,3.4,2.15,0.25,Yeovil,0.5,1.8,2,0.180607682,0.336392092,0.483000226
EC,26/10/2019,Dag and Red,Wrexham,2,1,Dag and Red,Dag and Red,1,1.2,2.2,3.25,3.3,0,Dag and Red,0.85,1.85,1.95,0.424663198,0.346519266,0.228817535
EC,26/10/2019,Dover Athletic,Stockport,0,1,Stockport,Dover Athletic,0,-1,1.75,3.6,4.75,-0.5,Stockport,-1,1.8,2,0.510024648,0.263105405,0.226869947
EC,26/10/2019,Harrogate,Aldershot,1,0,Harrogate,Harrogate,1,0.85,1.85,3.6,4,-0.5,Harrogate,0.9,1.9,1.9,0.570668823,0.291559684,0.137771493
EC,26/10/2019,Hartlepool,Barnet,2,0,Hartlepool,Hartlepool,1,1.37,2.37,3.4,2.87,-0.25,Hartlepool,1,2,1.8,0.374067317,0.267382817,0.358549867
EC,26/10/2019,Maidenhead,Solihull,1,0,Maidenhead,Solihull,0,-1,3.4,3.4,2.1,0.25,Maidenhead,-1,2.02,1.77,0.196628062,0.309574002,0.493797936
EC,26/10/2019,Sutton,Ebbsfleet,2,3,Ebbsfleet,Ebbsfleet,1,2.2,2.15,3.5,3.2,0,Ebbsfleet,0.95,1.85,1.95,0.25362637,0.30075487,0.44561876
EC,26/10/2019,Torquay,Barrow,4,2,Torquay,Barrow,0,-1,2.3,3.5,2.87,-0.25,Torquay,-1,2.07,1.72,0.147825565,0.181493138,0.670681297
EC,26/10/2019,Woking,Eastleigh,1,1,Draw,Eastleigh,0,-1,2.37,3.3,2.9,-0.25,Eastleigh,0,2.05,1.75,0.337421778,0.264538846,0.398039376
EC,26/10/2019,Chesterfield,Notts County,1,0,Chesterfield,Notts County,0,-1,2.5,3.4,2.7,0,Chesterfield,-1,1.85,1.95,0.123408717,0.234929484,0.641661799
SC0,26/10/2019,Hibernian,Ross County,2,2,Draw,Hibernian,0,-1,1.72,3.6,4.75,-1,Ross County,0,2.05,1.8,0.365316029,0.284052399,0.350631571
SC0,26/10/2019,Kilmarnock,St Mirren,1,0,Kilmarnock,Draw,0,-1,1.75,3.4,5,-0.5,Kilmarnock,-1,1.83,2.02,0.364804822,0.448559238,0.18663594
SC0,26/10/2019,Livingston,Hearts,0,0,Draw,Livingston,0,-1,2.6,3.2,2.7,0,Draw,0,1.8,2.05,0.391858139,0.262659994,0.345481867
SC0,26/10/2019,St Johnstone,Hamilton,3,2,St Johnstone,Hamilton,0,-1,1.7,3.75,4.75,-0.75,St Johnstone,-0.5,1.98,1.88,0.248351731,0.27557656,0.476071709
SC1,26/10/2019,Alloa,Queen of Sth,2,2,Draw,Queen of Sth,0,-1,3.3,3.4,2.15,0.25,Alloa,0,1.93,1.93,0.217451613,0.336894298,0.445654089
SC1,26/10/2019,Dundee United,Dunfermline,2,0,Dundee United,Dundee United,1,0.65,1.65,4,5,-1,Dundee United,1,2,1.85,0.380728812,0.262905528,0.356365659
SC1,26/10/2019,Morton,Inverness C,2,1,Morton,Inverness C,0,-1,3.3,3.5,2.1,0.25,Morton,-1,1.98,1.88,0.086069532,0.175388308,0.738542161
SC1,26/10/2019,Partick,Arbroath,1,3,Arbroath,Partick,0,-1,1.65,4,4.75,-0.75,Arbroath,-1,1.93,1.93,0.472464531,0.283997821,0.243537648
SC2,26/10/2019,Dumbarton,Peterhead,1,0,Dumbarton,Dumbarton,1,0.83,1.83,3.75,4,-0.25,Dumbarton,0.51,2.02,1.83,0.529467894,0.239244519,0.231287587
SC2,26/10/2019,Falkirk,Clyde,0,1,Clyde,Falkirk,0,-1,1.55,4.2,5.5,-1,Clyde,-1,1.95,1.9,0.628095474,0.260737872,0.111166654
SC2,26/10/2019,Forfar,Airdrie Utd,1,4,Airdrie Utd,Airdrie Utd,1,1.8,2.4,3.4,2.8,-0.25,Airdrie Utd,0.77,2.02,1.77,0.290275344,0.339200367,0.370524288
SC2,26/10/2019,Montrose,Stranraer,2,1,Montrose,Montrose,1,0.95,1.95,3.6,3.6,-0.5,Montrose,0.85,1.85,2,0.500177907,0.232103097,0.267718996
SC2,26/10/2019,Raith Rvs,East Fife,1,1,Draw,Raith Rvs,0,-1,2,3.6,3.5,-0.25,East Fife,0,1.82,1.97,0.406135846,0.232946425,0.360917729
SC3,26/10/2019,Elgin,Queens Park,3,1,Elgin,Elgin,1,1.3,2.3,3.6,2.8,-0.25,Elgin,0.88,1.88,1.98,0.444083295,0.307001851,0.248914854
D1,26/10/2019,Bayern Munich,Union Berlin,2,1,Bayern Munich,Bayern Munich,1,0.09,1.09,12,19,-2.75,Union Berlin,-1,1.96,1.97,0.513296677,0.245615278,0.241088045
D1,26/10/2019,Freiburg,RB Leipzig,2,1,Freiburg,RB Leipzig,0,-1,4,3.8,1.85,0.75,Freiburg,-1,2.07,1.86,0.22348611,0.24315455,0.53335934
D1,26/10/2019,Hertha,Hoffenheim,2,3,Hoffenheim,Hoffenheim,1,2.6,2.05,3.6,3.6,-0.25,Hoffenheim,1.05,1.88,2.05,0.311756952,0.297355204,0.390887844
D1,26/10/2019,Paderborn,Fortuna Dusseldorf,2,0,Paderborn,Fortuna Dusseldorf,0,-1,2.37,3.75,2.7,0,Paderborn,-1,1.94,1.99,0.190335916,0.215042718,0.594621366
D1,26/10/2019,Schalke 04,Dortmund,0,0,Draw,Dortmund,0,-1,3.1,3.6,2.2,0.25,Schalke 04,0,1.95,1.98,0.208017319,0.236967159,0.555015522
D1,26/10/2019,Leverkusen,Werder Bremen,2,2,Draw,Leverkusen,0,-1,1.57,4.33,5.5,-0.75,Werder Bremen,0,1.93,2,0.399494073,0.262309337,0.33819659
D2,26/10/2019,Dresden,Bielefeld,0,1,Bielefeld,Bielefeld,1,1.05,3.6,3.3,2.05,0.5,Bielefeld,0.9,1.95,1.9,0.063337724,0.130861622,0.805800654
D2,26/10/2019,Hamburg,Stuttgart,6,2,Hamburg,Hamburg,1,1,2,3.5,3.6,-0.5,Hamburg,0.98,1.98,1.88,0.480131112,0.318700402,0.201168486
D2,26/10/2019,Karlsruhe,Hannover,3,3,Draw,Karlsruhe,0,-1,2.8,3.25,2.5,0,Draw,0,2,1.8,0.423309393,0.282589275,0.294101332
SP1,26/10/2019,Leganes,Mallorca,1,0,Leganes,Mallorca,0,-1,1.8,3.4,4.75,-0.75,Leganes,-0.5,1.96,1.97,0.182650687,0.343796959,0.473552354
SP1,26/10/2019,Valladolid,Eibar,2,0,Valladolid,Valladolid,1,1.4,2.4,3.1,3.2,0,Valladolid,0.86,1.86,2.07,0.40759658,0.314526333,0.277877087
SP1,26/10/2019,Ath Madrid,Ath Bilbao,2,0,Ath Madrid,Draw,0,-1,1.7,3.5,5.75,-0.75,Ath Madrid,-1,1.95,1.98,0.340228453,0.462522267,0.19724928
SP2,26/10/2019,Vallecano,Ponferradina,1,3,Ponferradina,Vallecano,0,-1,1.57,3.75,6,-1,Ponferradina,-1,2.05,1.75,0.525970784,0.249142596,0.22488662
SP2,26/10/2019,Mirandes,Tenerife,0,0,Draw,Mirandes,0,-1,2.5,3.1,2.9,-0.25,Tenerife,0,2.02,1.83,0.396771968,0.245127785,0.358100247
SP2,26/10/2019,Santander,La Coruna,1,1,Draw,Santander,0,-1,2.6,3.1,2.8,-0.25,La Coruna,0,2.05,1.8,0.536238479,0.280177916,0.183583605
SP2,26/10/2019,Malaga,Oviedo,2,1,Malaga,Oviedo,0,-1,2.3,3,3.4,-0.25,Malaga,-0.5,1.83,2.02,0.271602083,0.248560679,0.479837238
SP2,26/10/2019,Numancia,Lugo,3,1,Numancia,Numancia,1,0.95,1.95,3.2,4.2,-0.5,Numancia,0.93,1.93,1.93,0.368357959,0.348037009,0.283605032
I1,26/10/2019,Lecce,Juventus,1,1,Draw,Juventus,0,-1,9,5.75,1.3,1.5,Lecce,0,1.75,2.05,0.121857187,0.186817426,0.691325386
I1,26/10/2019,Inter,Parma,2,2,Draw,Inter,0,-1,1.28,5.5,11,-1.5,Parma,0,1.92,2.01,0.582895004,0.215633474,0.201471522
I1,26/10/2019,Genoa,Brescia,3,1,Genoa,Brescia,0,-1,1.9,3.6,4,-0.5,Genoa,-1,2.02,1.91,0.1805209,0.255128386,0.564350713
I2,26/10/2019,Cosenza,Chievo,1,1,Draw,Chievo,0,-1,2.55,3.2,2.75,0,Draw,0,1.85,2,0.253827753,0.259765956,0.486406291
I2,26/10/2019,Crotone,Venezia,3,2,Crotone,Crotone,1,0.55,1.55,3.75,6.5,-1,Draw,0,1.77,2.1,0.417586985,0.339187807,0.243225208
I2,26/10/2019,Pescara,Benevento,4,0,Pescara,Benevento,0,-1,3.6,3.25,2.1,0.25,Pescara,-1,2.1,1.77,0.150726233,0.27014971,0.579124057
I2,26/10/2019,Pordenone,Cittadella,0,0,Draw,Pordenone,0,-1,2.3,3.2,3.1,0,Draw,0,1.77,2.1,0.46581088,0.25548801,0.27870111
I2,26/10/2019,Salernitana,Perugia,1,1,Draw,Perugia,0,-1,2.4,3.2,3,0,Draw,0,1.72,2.07,0.299227721,0.326193348,0.374578931
I2,26/10/2019,Spezia,Juve Stabia,2,0,Spezia,Spezia,1,0.8,1.8,3.5,4.5,-0.5,Spezia,0.8,1.8,2.05,0.417205367,0.251967088,0.330827546
I2,26/10/2019,Trapani,Empoli,2,2,Draw,Empoli,0,-1,3.1,3.2,2.3,0,Draw,0,1.88,1.98,0.167807635,0.270341368,0.561850997
I2,26/10/2019,Livorno,Pisa,1,0,Livorno,Pisa,0,-1,2.2,3.2,3.4,-0.25,Livorno,-0.5,1.93,1.93,0.198470003,0.232909514,0.568620483
F1,26/10/2019,Lille,Bordeaux,3,0,Lille,Bordeaux,0,-1,1.83,3.6,4.33,-0.5,Lille,-1,1.92,2.01,0.314543907,0.265526042,0.41993005
F1,26/10/2019,Brest,Dijon,2,0,Brest,Draw,0,-1,2.3,3.2,3.3,-0.25,Brest,-1,2.08,1.85,0.351192755,0.407486041,0.241321205
F1,26/10/2019,Lyon,Metz,2,0,Lyon,Lyon,1,0.44,1.44,4.5,7.5,-1.25,Lyon,0.515,2.03,1.9,0.377115523,0.354435278,0.268449199
F1,26/10/2019,Montpellier,Angers,0,0,Draw,Montpellier,0,-1,2.25,3.1,3.5,-0.25,Angers,0,1.95,1.98,0.404936786,0.319731787,0.275331428
F1,26/10/2019,Reims,Nimes,0,0,Draw,Reims,0,-1,1.83,3.4,4.75,-0.75,Nimes,0,1.89,2.04,0.48671577,0.375286461,0.137997768
F1,26/10/2019,Strasbourg,Nice,1,0,Strasbourg,Nice,0,-1,2,3.2,4.2,-0.5,Strasbourg,-1,1.97,1.96,0.252445967,0.279670373,0.46788366
F2,26/10/2019,Lorient,Troyes,0,1,Troyes,Lorient,0,-1,2.1,2.9,4.1,-0.5,Troyes,-1,2.07,1.72,0.486675916,0.297174844,0.21614924
B1,26/10/2019,Charleroi,Mouscron,1,0,Charleroi,Mouscron,0,-1,1.9,3.4,4,-0.25,Charleroi,-0.5,1.75,2.05,0.346141755,0.278991177,0.374867067
B1,26/10/2019,Antwerp,Kortrijk,3,1,Antwerp,Kortrijk,0,-1,1.4,4.5,7.5,-1,Antwerp,-1,1.95,1.9,0.228906473,0.220442749,0.550650778
B1,26/10/2019,Waregem,Oostende,2,0,Waregem,Waregem,1,0.75,1.75,4,4,-0.5,Waregem,0.85,1.85,2,0.638416632,0.193904255,0.167679113
B1,26/10/2019,Genk,Cercle Brugge,1,0,Genk,Genk,1,0.16,1.16,7,15,-1.75,Cercle Brugge,-0.5,1.9,1.95,0.847522587,0.106229451,0.046247962
N1,26/10/2019,Willem II,Waalwijk,2,1,Willem II,Willem II,1,0.4,1.4,4.5,7,-1,Draw,0,1.92,1.98,0.669607774,0.214086558,0.116305668
N1,26/10/2019,For Sittard,VVV Venlo,4,1,For Sittard,For Sittard,1,1.3,2.3,3.4,2.9,-0.25,For Sittard,0.89,1.89,2.01,0.539628318,0.22912122,0.231250462
N1,26/10/2019,Vitesse,Den Haag,0,2,Den Haag,Vitesse,0,-1,1.44,4.75,6.5,-1.25,Den Haag,-1,1.88,2.02,0.741273042,0.165422369,0.093304589
N1,26/10/2019,Heracles,Zwolle,4,0,Heracles,Heracles,1,0.65,1.65,4.2,4.5,-0.75,Heracles,1.03,2.03,1.87,0.598196438,0.213154047,0.188649515
P1,26/10/2019,Belenenses,Aves,3,2,Belenenses,Belenenses,1,1.1,2.1,3.2,3.6,-0.25,Belenenses,0.49,1.98,1.92,0.391899196,0.313014553,0.29508625
P1,26/10/2019,Gil Vicente,Portimonense,1,1,Draw,Draw,1,2,2.5,3,3,-0.25,Portimonense,0,1.77,2.14,0.266623483,0.403638847,0.32973767
P1,26/10/2019,Setubal,Maritimo,0,0,Draw,Draw,1,2,2.3,3,3.4,-0.5,Maritimo,0,1.99,1.91,0.256810894,0.403727119,0.339461987
P1,26/10/2019,Moreirense,Boavista,1,1,Draw,Draw,1,2.1,2.15,3.1,3.6,-0.25,Boavista,0,2.1,1.8,0.238892071,0.398076474,0.363031455
T1,26/10/2019,Sivasspor,Antalyaspor,2,1,Sivasspor,Sivasspor,1,0.75,1.75,3.5,4.75,-1,Draw,0,2.05,1.75,0.544755283,0.233453439,0.221791278
T1,26/10/2019,Gaziantep,Alanyaspor,1,1,Draw,Alanyaspor,0,-1,3.6,3.5,2,0.5,Gaziantep,0,1.83,2.02,0.283528868,0.212308421,0.504162711
T1,26/10/2019,Fenerbahce,Konyaspor,5,1,Fenerbahce,Fenerbahce,1,0.44,1.44,4.33,7,-1,Fenerbahce,0.72,1.72,2.07,0.374764589,0.299759734,0.325475677
G1,26/10/2019,OFI Crete,Xanthi,2,0,OFI Crete,OFI Crete,1,0.65,1.65,3.6,5.75,-1,OFI Crete,0.88,1.88,1.98,0.478373359,0.253919829,0.267706812
G1,26/10/2019,Volos NFC,PAOK,0,2,PAOK,PAOK,1,0.22,12,5.25,1.22,1.75,PAOK,0.45,1.95,1.9,0.186233445,0.183532634,0.630233921
E0,27/10/2019,Newcastle,Wolves,1,1,Draw,Wolves,0,-1,3,3.1,2.55,0.25,Newcastle,0,1.89,2.04,0.156278643,0.330805223,0.512916135
E0,27/10/2019,Arsenal,Crystal Palace,2,2,Draw,Arsenal,0,-1,1.45,4.75,6.5,-1.25,Crystal Palace,0,2.04,1.89,0.375683891,0.322380027,0.301936081
E0,27/10/2019,Liverpool,Tottenham,2,1,Liverpool,Liverpool,1,0.5,1.5,4.33,6.5,-1.25,Tottenham,-0.5,2.02,1.91,0.724217367,0.167460738,0.108321894
E0,27/10/2019,Norwich,Man United,1,3,Man United,Man United,1,0.75,4.33,4,1.75,0.75,Man United,1.07,1.86,2.07,0.163350472,0.285100337,0.55154919
E1,27/10/2019,Swansea,Cardiff,1,0,Swansea,Cardiff,0,-1,2.3,3.25,3.25,-0.25,Swansea,-0.5,2.1,1.8,0.23676628,0.257023897,0.506209823
E1,27/10/2019,Bristol City,Wigan,2,2,Draw,Bristol City,0,-1,1.95,3.5,4,-0.5,Wigan,0,2.01,1.89,0.429540395,0.343565959,0.226893646
