Team,Attack,Defense
Holstein Kiel,1.1843541877809476,1.5965159757141145
Nürnberg,0.47617170782374785,0.9335826497845034
Sandhausen,1.1592332166707864,1.5071760039763606
Arminia Bielefeld,1.2368997053881887,1.5791523918699584
Paderborn,1.727026915388212,0.9478693719289584
Greuther Fürth,1.0362626375837711,1.6159020411157723
Kaiserslautern,1.0946829205692596,0.9939852155298968
Magdeburg,1.2398754733394075,1.0521940284335487
Jahn Regensburg,0.6337192010262032,1.3648097118673375
Fortuna Düsseldorf,1.8674252149226431,1.027793633639494
St. Pauli,0.9156112957683811,0.387983625168086
Karlsruhe,1.3665908523987258,1.270326750981915
Heidenheim,1.3853811804918004,0.49289290011223685
Darmstadt,1.2563404975903842,0.6165681649464634
Hamburg,1.4842793431770729,1.6512306923961702
Hannover 96,1.3075382251886694,1.1436924750401074
Hansa Rostock,0.6893246247463797,1.1953160639583338
Eintracht Braunschweig,1.0308386143892323,1.7145641177805526
