Team,Attack,Defense
Sunderland,1.0770837745245803,0.9698308964346438
Norwich City,1.281916099510864,0.8793372801008008
Watford,0.9619779289869423,1.2152309859344297
Stoke City,1.2199376605324546,1.0102114529499158
Burnley,1.8691874040516998,1.0800690580223615
Blackpool,0.7996132491846237,1.3180187544175237
Sheffield United,1.4602302311044637,0.6481317811755218
Cardiff City,0.742152032965016,0.9270103854029793
Swansea City,1.1443520412258492,1.5077112007259343
Reading,1.4528763029943867,1.0105970909186086
Middlesbrough,1.8898001233000887,1.7025687151200675
Preston North End,0.4794766565973231,0.4437701103563036
Hull City,0.6719475025381749,1.156597928390176
Coventry City,1.0484886350412679,1.2405697736394345
Huddersfield Town,0.8167871145565343,1.4156278386769872
West Bromwich Albion,0.978376782411529,1.0734695824768594
Luton Town,0.7362509741903935,0.7233832507160574
Blackburn Rovers,1.1166311224663505,0.8629783644185012
Bristol City,1.6930629705670581,1.5601865576061384
Wigan Athletic,1.0242079168353753,1.5157887877888119
Birmingham City,1.137730346242017,1.0244126933368791
Millwall,0.6734421682565656,0.8564896339864279
Rotherham United,0.8005330181523557,0.8854645736696489
Queens Park Rangers,1.016787194984435,1.065392554955334
