Team,Attack,Defense
Tigre,1.123925268793382,1.0630771024050507
Boca Juniors,1.0329863280281137,0.8879481378446323
Arsenal,0.7552306707541736,1.2372312627919477
Talleres de Córdoba,1.4027495961583025,0.9118168176413077
Racing Club,1.0545499150124977,0.9179708559429582
Barracas Central,0.6768088811305724,1.4029227216621538
Gimnasia La Plata,0.747045950983156,1.339745546790956
Colón,0.6841927376016699,1.1494813212492252
Atlético Tucumán,0.6654986188239914,1.097411862356648
Godoy Cruz,0.8584974131942077,0.8333876669360192
Rosario Central,1.2211639654187016,1.006394776260427
Estudiantes,0.8093874070360081,1.063447119643691
Lanús,1.6758901338333625,0.8862468786810698
Huracán,1.0864014423029231,1.25458008967625
Banfield,0.48800752082788423,0.9415374110288462
Central Córdoba SdE,0.5719198249449375,0.958243068019083
Newell's Old Boys,0.9743171932982208,0.867197111201476
Sarmiento,1.0592086271376597,0.9232252488851526
Argentinos Juniors,0.8018059984993501,0.6480226104572517
Platense,1.3037694629793088,1.300473262935107
Independiente,0.7613093019191933,0.9283010230286317
Defensa y Justicia,1.2176414152129875,0.537532176456698
Instituto,0.8327725669687118,0.9244745734690645
Unión,0.5294959553690821,1.1344517123422553
Belgrano,0.7891804142898893,0.5508550660453629
River Plate,1.778506186503938,0.7062451452192978
San Lorenzo,0.9280245415295114,0.42428422397941506
Vélez Sarsfield,1.108187090386009,1.0419696359877635
