Team,Attack,Defense
Jeju United,0.8774889505239227,1.1061790312326267
Suwon,1.2242893581703596,1.6116549784758518
Incheon United,0.9362818385334502,1.6569968233972636
Daejeon Hana Citizen,1.3515298842657544,1.47897161349063
Gangwon,0.608574524451656,0.8467027381608094
Pohang Steelers,1.3683941992311506,0.9478949583845768
Jeonbuk Motors,1.0682433279386643,0.7741664887691725
Daegu,0.9126623061297021,0.8081753506030072
Seoul,1.614405864688714,0.7522034099363677
Ulsan,1.3706166277329688,0.8620491468138903
Suwon Bluewings,1.045193493310053,1.4173501050238386
Gwangju,0.8343963209688581,0.949732051657219
