Team,Attack,Defense
San Lorenzo,0.9225524182330185,0.2894449299510885
Gimnasia La Plata,0.997642519285866,1.5170274625881546
Instituto,0.8283376156022659,1.000598586109033
Argentinos Juniors,0.8251137260189256,0.8403967723065593
Tigre,0.6937512456551223,0.7980429080031322
Arsenal,0.820075313687732,1.5255010184784943
Barracas Central,0.5526891167022938,1.1116374641595592
Estudiantes,1.0693530870117813,0.6274807681610522
Colón,1.1103608564948713,0.9084275973800081
River Plate,1.7892509590167482,0.2928670955672928
Platense,0.7529099357408883,0.7421873877065899
Belgrano,1.052344194343499,0.48013650056263774
Rosario Central,1.4404122214001718,1.2314335598218427
Huracán,0.5557433209210276,1.1929524461560446
Racing Club,1.1104188104369583,1.4726912718688818
Vélez Sarsfield,1.0081901242633227,1.0899063519280474
Godoy Cruz,1.3724052271840363,1.388805044420016
Sarmiento,0.7489417860252995,0.8270320682183363
Talleres de Córdoba,1.4739030001630629,0.8713351679876026
Newell's Old Boys,0.6563069721880852,0.6829650145682342
Boca Juniors,1.1077584928014739,1.153251894995359
Independiente,0.7415779324862981,1.0512061707677056
Defensa y Justicia,1.0890120785700732,0.42325784523863147
Central Córdoba SdE,0.5279650366958468,1.0647214327704513
Atlético Tucumán,1.0957858030429626,1.0864024496169464
Lanús,1.5153112404596292,1.1262304391313573
Unión,0.620826169781186,1.3843569276016676
Banfield,0.8275299890323421,1.1261726171800623
