Team,Attack,Defense
Melbourne Victory,1.2638165834332207,1.0753468614392583
Western United,0.864800533024507,1.2572351155874215
Macarthur,0.7779574472513631,1.9567478745286744
Wellington Phoenix,0.9819197896905806,1.3789280278063694
Brisbane Roar,0.8446094936653056,1.2342223856377363
Adelaide United,2.5739588666821165,1.5822106466911907
Sydney,1.1982633877950526,0.8853672797078932
Western Sydney Wanderers,1.2472138253765666,0.6394058312295002
Perth Glory,1.238106371359605,1.643385213356356
Newcastle Jets,1.1139316690945789,1.4149541959343837
Central Coast Mariners,1.5806769348119059,1.5287697535642204
Melbourne City,2.6396461567525993,1.7283278734543992
