Team,Attack,Defense
Ilves,0.8071639798355927,1.000880667431708
Mariehamn,0.9829798037983699,1.1484074760216842
HJK,1.4656042550769384,0.7535953663635999
Lahti,0.7169125725828895,0.6997580801835298
Haka,1.0005268036314767,1.1284096885330017
KTP,0.9885245911201591,1.1108626886998951
Oulu,1.136165984225299,0.8484002144222488
Honka,0.8703618987717587,0.9435867269996712
Inter Turku,1.1284096885330017,1.0005268036314767
SJK,0.9875238499865798,0.8767954574844146
KuPS,0.8160577058983775,0.9647648447789248
VPS,0.7458390706713027,1.170082189581591
