Team,Attack,Defense
Rennes,1.2392192540862113,0.9042431456397735
Lyon,0.9238500050491114,0.9096815411178358
Lens,1.2968442579487334,0.8531753337815059
Marseille,1.447283031363733,0.8331552799989212
Brest,0.7134172564064667,0.6395463978198567
Toulouse,1.5564849636065037,1.1050828534678
Reims,0.9484226585956642,0.4658280246532859
Lille,1.9061721733509391,0.9371352368419907
Strasbourg,1.2284401428953424,1.4761127870149577
Clermont,0.8328000531924477,0.8529181520294075
Angers,0.5153578867458621,1.8399672543754952
Troyes,0.8804662595869253,1.9146758600455014
Auxerre,0.490138387972497,1.298873121331422
Lorient,1.0835542219017817,1.2888793013022517
Montpellier,1.036317346299667,1.3148676624757636
Nantes,0.8452484562395,0.701752175704405
Nice,1.3214164702535645,0.5447938978196835
PSG,1.4423781893777334,1.2457545358602813
Ajaccio,0.4448941793313993,1.7120305122592512
Monaco,1.960899210982078,1.2751313316467705
