Team,Attack,Defense
Estoril,0.8285058248004579,1.348628325081664
Arouca,1.2217963258469482,1.133107217898846
Porto,1.335036189822764,0.36976478847294536
Casa Pia,0.49097711533207244,0.3706391342029261
Boavista,1.1679420296857916,1.1178832881474736
Marítimo,0.6816837135966795,1.9784477843323824
Chaves,0.761820111515249,1.0668788944076435
Rio Ave,0.9066897152428329,1.4146943432928991
Gil Vicente,0.5304182939618131,0.8989706031792211
Santa Clara,0.9267550000444112,1.3250137083766882
Benfica,3.9891454433680744,1.3555618089379213
Sporting Lisbon,1.3025126704008085,1.2652912692421314
Vizela,0.9291767866222918,0.7976208959615788
Famalicão,0.6183511083845279,1.5950920067959624
Vitoria Guimaraes,1.0053648609351828,0.9276053477468396
Paços Ferreira,0.770402788280403,1.4483224174542995
Sporting Braga,1.6959406835037545,0.576078312958297
Portimonense,0.6694265769258906,0.8423450917802344
