Team,Attack,Defense
Ulsan,1.5146722779530462,0.8775896692451223
Jeju United,1.0446163604950829,1.084286635901003
Daegu,1.02989173358763,1.34966711513379
Gangwon,0.7729161280225765,1.3596942807964
Pohang Steelers,1.114884947937255,0.8947224934245329
Gwangju,0.8656613671604355,0.8453531759783898
Incheon United,0.6749174954489641,0.6502130095655326
Daejeon Hana Citizen,1.1985989858629167,0.689875204963794
Suwon,0.7397953548204315,0.6974265752166935
Jeonbuk Motors,1.0537908385252046,1.0797196968116844
Suwon Bluewings,0.7857693827266606,1.2296962320369944
Seoul,1.356497765914904,1.393768549381171
