Team,Attack,Defense
HamKam,1.2689110280029094,1.5999229383971092
Viking,1.4219488577567003,1.140988080483735
Stabæk,1.1892815038737443,1.1327446983242502
Strømsgodset,1.0195691917654937,1.362736595104462
Bodø / Glimt,1.8909144757986516,0.9923445658062693
Sandefjord,0.8764117762759418,0.7983694720443384
Sarpsborg 08,0.8260528831588121,0.6842997102645991
Aalesund,0.3905192913161547,1.25180948653928
Brann,1.3146654870276653,1.1350763609424164
Tromsø,0.8719310598681098,0.715154093682542
Molde,1.546794756704284,1.2219556911438842
Valerenga,1.2018098536756578,1.492558136438156
Lillestrøm,1.525301036721842,1.2766281936422539
Odd,0.5636291065873431,0.4664923141059432
Haugesund,0.5902746592024338,1.0882916912273422
Rosenborg,1.0558058469261364,1.1944487865152997
