Team,Attack,Defense
Brann,1.3304701586146812,1.0347854798655443
Molde,1.2814629428715945,1.2727205406164908
Lillestrøm,1.3896797730656916,1.4382675706782049
Aalesund,0.3405615544320789,1.2740968382565203
HamKam,1.3537029685136688,1.3072584026174285
Sarpsborg 08,0.8851937897019093,0.7506119914344149
Sandefjord,0.6119093773584968,0.8450477737299624
Strømsgodset,0.9030833641067191,1.4394629632441878
Odd,0.6080350829737546,0.3845167512614218
Stabæk,1.1112409271705364,0.9693389445544449
Tromsø,0.8083965691541912,0.538833904103805
Bodø / Glimt,2.078389384891526,0.7782236701476346
Valerenga,1.1058837158241794,1.5192031296701192
Viking,1.1384491262680743,0.900357640649236
Rosenborg,0.9636402824993355,0.8485187925092987
Haugesund,0.7298853373768109,1.3387399614845334
