Team,Attack,Defense
Schalke 04,0.48942503259462494,1.4657817209382014
Werder Bremen,1.4354064271644642,1.5870783695442603
Hoffenheim,0.8714562033548783,1.4437396157656073
Borussia Dortmund,3.1562860692359243,0.9580591389612236
FC Cologne,0.9470908902066025,1.5502127283358829
Bayern Munich,1.522626146904893,1.2905752679844604
Augsburg,0.7566444621040722,0.9843376670849971
Borussia M'gladbach,1.1464787018548879,0.7467409721207384
Mainz,1.4073819609742615,0.9852221546836503
Stuttgart,0.9182654458378168,1.4399802138044384
Freiburg,1.1130379850029262,0.5561526852417265
RB Leipzig,0.8222735356156964,0.9224840178709607
Union Berlin,1.0277268401078825,0.6882965243960328
Wolfsburg,1.393477992918903,1.227629816274744
Bayer Leverkusen,1.8577598431039697,0.8091516204375455
Hertha Berlin,0.8286949422150531,2.065867094016116
Bochum,0.9223824859876502,1.6877153144488797
Eintracht Frankfurt,1.2914468294933423,1.4988368727683818
